,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Slight,Slight,madrid_2D-convolution,train,madrid,2D-convolution,0.93,0.944,0.937,1653.0
Assistance,Assistance,madrid_2D-convolution,train,madrid,2D-convolution,0.943,0.929,0.936,1659.0
accuracy,accuracy,madrid_2D-convolution,train,madrid,2D-convolution,0.937,0.937,0.937,0.937
macro avg,macro avg,madrid_2D-convolution,train,madrid,2D-convolution,0.937,0.937,0.937,3312.0
weighted avg,weighted avg,madrid_2D-convolution,train,madrid,2D-convolution,0.937,0.937,0.937,3312.0
Slight,Slight,madrid_KNN,train,madrid,KNN,0.675,0.446,0.537,1653.0
Assistance,Assistance,madrid_KNN,train,madrid,KNN,0.587,0.785,0.672,1659.0
accuracy,accuracy,madrid_KNN,train,madrid,KNN,0.616,0.616,0.616,0.616
macro avg,macro avg,madrid_KNN,train,madrid,KNN,0.631,0.616,0.605,3312.0
weighted avg,weighted avg,madrid_KNN,train,madrid,KNN,0.631,0.616,0.605,3312.0
Slight,Slight,madrid_Logistic-Regression,train,madrid,Logistic-Regression,0.632,0.543,0.584,1653.0
Assistance,Assistance,madrid_Logistic-Regression,train,madrid,Logistic-Regression,0.6,0.685,0.64,1659.0
accuracy,accuracy,madrid_Logistic-Regression,train,madrid,Logistic-Regression,0.614,0.614,0.614,0.614
macro avg,macro avg,madrid_Logistic-Regression,train,madrid,Logistic-Regression,0.616,0.614,0.612,3312.0
weighted avg,weighted avg,madrid_Logistic-Regression,train,madrid,Logistic-Regression,0.616,0.614,0.612,3312.0
Slight,Slight,madrid_Logistic-Regression,train,madrid,Logistic-Regression,0.632,0.543,0.584,1653.0
Assistance,Assistance,madrid_Logistic-Regression,train,madrid,Logistic-Regression,0.6,0.685,0.64,1659.0
accuracy,accuracy,madrid_Logistic-Regression,train,madrid,Logistic-Regression,0.614,0.614,0.614,0.614
macro avg,macro avg,madrid_Logistic-Regression,train,madrid,Logistic-Regression,0.616,0.614,0.612,3312.0
weighted avg,weighted avg,madrid_Logistic-Regression,train,madrid,Logistic-Regression,0.616,0.614,0.612,3312.0
Slight,Slight,madrid_ML-Perceptron,train,madrid,ML-Perceptron,0.86,0.798,0.828,1653.0
Assistance,Assistance,madrid_ML-Perceptron,train,madrid,ML-Perceptron,0.812,0.87,0.84,1659.0
accuracy,accuracy,madrid_ML-Perceptron,train,madrid,ML-Perceptron,0.834,0.834,0.834,0.834
macro avg,macro avg,madrid_ML-Perceptron,train,madrid,ML-Perceptron,0.836,0.834,0.834,3312.0
weighted avg,weighted avg,madrid_ML-Perceptron,train,madrid,ML-Perceptron,0.836,0.834,0.834,3312.0
Slight,Slight,madrid_Random-Forest,train,madrid,Random-Forest,0.649,0.526,0.581,1653.0
Assistance,Assistance,madrid_Random-Forest,train,madrid,Random-Forest,0.602,0.716,0.654,1659.0
accuracy,accuracy,madrid_Random-Forest,train,madrid,Random-Forest,0.621,0.621,0.621,0.621
macro avg,macro avg,madrid_Random-Forest,train,madrid,Random-Forest,0.625,0.621,0.618,3312.0
weighted avg,weighted avg,madrid_Random-Forest,train,madrid,Random-Forest,0.625,0.621,0.618,3312.0
Slight,Slight,madrid_SVC,train,madrid,SVC,0.797,0.672,0.729,1653.0
Assistance,Assistance,madrid_SVC,train,madrid,SVC,0.717,0.829,0.769,1659.0
accuracy,accuracy,madrid_SVC,train,madrid,SVC,0.751,0.751,0.751,0.751
macro avg,macro avg,madrid_SVC,train,madrid,SVC,0.757,0.75,0.749,3312.0
weighted avg,weighted avg,madrid_SVC,train,madrid,SVC,0.757,0.751,0.749,3312.0
