,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Slight,Slight,Cornwall_1D-convolution,train,Cornwall,1D-convolution,0.987,0.981,0.984,622.0
Assistance,Assistance,Cornwall_1D-convolution,train,Cornwall,1D-convolution,0.981,0.987,0.984,621.0
accuracy,accuracy,Cornwall_1D-convolution,train,Cornwall,1D-convolution,0.984,0.984,0.984,0.984
macro avg,macro avg,Cornwall_1D-convolution,train,Cornwall,1D-convolution,0.984,0.984,0.984,1243.0
weighted avg,weighted avg,Cornwall_1D-convolution,train,Cornwall,1D-convolution,0.984,0.984,0.984,1243.0
Slight,Slight,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.992,0.998,0.995,622.0
Assistance,Assistance,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.998,0.992,0.995,621.0
accuracy,accuracy,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.995,0.995,0.995,0.995
macro avg,macro avg,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.995,0.995,0.995,1243.0
weighted avg,weighted avg,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.995,0.995,0.995,1243.0
Slight,Slight,Cornwall_KNN,train,Cornwall,KNN,0.812,0.368,0.507,622.0
Assistance,Assistance,Cornwall_KNN,train,Cornwall,KNN,0.591,0.915,0.718,621.0
accuracy,accuracy,Cornwall_KNN,train,Cornwall,KNN,0.641,0.641,0.641,0.641
macro avg,macro avg,Cornwall_KNN,train,Cornwall,KNN,0.702,0.641,0.612,1243.0
weighted avg,weighted avg,Cornwall_KNN,train,Cornwall,KNN,0.702,0.641,0.612,1243.0
Slight,Slight,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.998,0.992,0.995,622.0
Assistance,Assistance,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.992,0.998,0.995,621.0
accuracy,accuracy,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.995,0.995,0.995,0.995
macro avg,macro avg,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.995,0.995,0.995,1243.0
weighted avg,weighted avg,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.995,0.995,0.995,1243.0
Slight,Slight,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.998,0.992,0.995,622.0
Assistance,Assistance,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.992,0.998,0.995,621.0
accuracy,accuracy,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.995,0.995,0.995,0.995
macro avg,macro avg,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.995,0.995,0.995,1243.0
weighted avg,weighted avg,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.995,0.995,0.995,1243.0
Slight,Slight,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.952,0.902,0.927,622.0
Assistance,Assistance,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.907,0.955,0.93,621.0
accuracy,accuracy,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.928,0.928,0.928,0.928
macro avg,macro avg,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.93,0.928,0.928,1243.0
weighted avg,weighted avg,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.93,0.928,0.928,1243.0
Slight,Slight,Cornwall_NB,train,Cornwall,NB,0.667,0.449,0.537,622.0
Assistance,Assistance,Cornwall_NB,train,Cornwall,NB,0.584,0.776,0.667,621.0
accuracy,accuracy,Cornwall_NB,train,Cornwall,NB,0.612,0.612,0.612,0.612
macro avg,macro avg,Cornwall_NB,train,Cornwall,NB,0.626,0.612,0.602,1243.0
weighted avg,weighted avg,Cornwall_NB,train,Cornwall,NB,0.626,0.612,0.602,1243.0
Slight,Slight,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.6,0.924,0.727,622.0
Assistance,Assistance,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.835,0.382,0.524,621.0
accuracy,accuracy,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.653,0.653,0.653,0.653
macro avg,macro avg,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.717,0.653,0.626,1243.0
weighted avg,weighted avg,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.717,0.653,0.626,1243.0
Slight,Slight,Cornwall_SVC,train,Cornwall,SVC,0.911,0.826,0.867,622.0
Assistance,Assistance,Cornwall_SVC,train,Cornwall,SVC,0.841,0.919,0.878,621.0
accuracy,accuracy,Cornwall_SVC,train,Cornwall,SVC,0.873,0.873,0.873,0.873
macro avg,macro avg,Cornwall_SVC,train,Cornwall,SVC,0.876,0.873,0.873,1243.0
weighted avg,weighted avg,Cornwall_SVC,train,Cornwall,SVC,0.876,0.873,0.873,1243.0
