,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Assistance,Assistance,Birmingham_1D-convolution,train,Birmingham,1D-convolution,0.928,0.96,0.944,2861.0
Slight,Slight,Birmingham_1D-convolution,train,Birmingham,1D-convolution,0.958,0.926,0.942,2861.0
accuracy,accuracy,Birmingham_1D-convolution,train,Birmingham,1D-convolution,0.943,0.943,0.943,0.943
macro avg,macro avg,Birmingham_1D-convolution,train,Birmingham,1D-convolution,0.943,0.943,0.943,5722.0
weighted avg,weighted avg,Birmingham_1D-convolution,train,Birmingham,1D-convolution,0.943,0.943,0.943,5722.0
Assistance,Assistance,Birmingham_2D-convolution,train,Birmingham,2D-convolution,0.99,0.983,0.986,2861.0
Slight,Slight,Birmingham_2D-convolution,train,Birmingham,2D-convolution,0.983,0.99,0.986,2861.0
accuracy,accuracy,Birmingham_2D-convolution,train,Birmingham,2D-convolution,0.986,0.986,0.986,0.986
macro avg,macro avg,Birmingham_2D-convolution,train,Birmingham,2D-convolution,0.986,0.986,0.986,5722.0
weighted avg,weighted avg,Birmingham_2D-convolution,train,Birmingham,2D-convolution,0.986,0.986,0.986,5722.0
Assistance,Assistance,Birmingham_KNN,train,Birmingham,KNN,0.719,0.681,0.699,2861.0
Slight,Slight,Birmingham_KNN,train,Birmingham,KNN,0.697,0.734,0.715,2861.0
accuracy,accuracy,Birmingham_KNN,train,Birmingham,KNN,0.707,0.707,0.707,0.707
macro avg,macro avg,Birmingham_KNN,train,Birmingham,KNN,0.708,0.707,0.707,5722.0
weighted avg,weighted avg,Birmingham_KNN,train,Birmingham,KNN,0.708,0.707,0.707,5722.0
Assistance,Assistance,Birmingham_Logistic-Regression,train,Birmingham,Logistic-Regression,0.652,0.721,0.685,2861.0
Slight,Slight,Birmingham_Logistic-Regression,train,Birmingham,Logistic-Regression,0.688,0.614,0.649,2861.0
accuracy,accuracy,Birmingham_Logistic-Regression,train,Birmingham,Logistic-Regression,0.668,0.668,0.668,0.668
macro avg,macro avg,Birmingham_Logistic-Regression,train,Birmingham,Logistic-Regression,0.67,0.668,0.667,5722.0
weighted avg,weighted avg,Birmingham_Logistic-Regression,train,Birmingham,Logistic-Regression,0.67,0.668,0.667,5722.0
Assistance,Assistance,Birmingham_ML-Perceptron,train,Birmingham,ML-Perceptron,0.914,0.887,0.9,2861.0
Slight,Slight,Birmingham_ML-Perceptron,train,Birmingham,ML-Perceptron,0.89,0.917,0.903,2861.0
accuracy,accuracy,Birmingham_ML-Perceptron,train,Birmingham,ML-Perceptron,0.902,0.902,0.902,0.902
macro avg,macro avg,Birmingham_ML-Perceptron,train,Birmingham,ML-Perceptron,0.902,0.902,0.902,5722.0
weighted avg,weighted avg,Birmingham_ML-Perceptron,train,Birmingham,ML-Perceptron,0.902,0.902,0.902,5722.0
Assistance,Assistance,Birmingham_NB,train,Birmingham,NB,0.611,0.822,0.701,2861.0
Slight,Slight,Birmingham_NB,train,Birmingham,NB,0.728,0.476,0.576,2861.0
accuracy,accuracy,Birmingham_NB,train,Birmingham,NB,0.649,0.649,0.649,0.649
macro avg,macro avg,Birmingham_NB,train,Birmingham,NB,0.67,0.649,0.638,5722.0
weighted avg,weighted avg,Birmingham_NB,train,Birmingham,NB,0.67,0.649,0.638,5722.0
Assistance,Assistance,Birmingham_Random-Forest,train,Birmingham,Random-Forest,0.671,0.834,0.744,2861.0
Slight,Slight,Birmingham_Random-Forest,train,Birmingham,Random-Forest,0.781,0.59,0.672,2861.0
accuracy,accuracy,Birmingham_Random-Forest,train,Birmingham,Random-Forest,0.712,0.712,0.712,0.712
macro avg,macro avg,Birmingham_Random-Forest,train,Birmingham,Random-Forest,0.726,0.712,0.708,5722.0
weighted avg,weighted avg,Birmingham_Random-Forest,train,Birmingham,Random-Forest,0.726,0.712,0.708,5722.0
Assistance,Assistance,Birmingham_SVC,train,Birmingham,SVC,0.837,0.814,0.825,2861.0
Slight,Slight,Birmingham_SVC,train,Birmingham,SVC,0.819,0.842,0.83,2861.0
accuracy,accuracy,Birmingham_SVC,train,Birmingham,SVC,0.828,0.828,0.828,0.828
macro avg,macro avg,Birmingham_SVC,train,Birmingham,SVC,0.828,0.828,0.828,5722.0
weighted avg,weighted avg,Birmingham_SVC,train,Birmingham,SVC,0.828,0.828,0.828,5722.0
