,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Assistance,Assistance,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.963,0.959,0.961,1789.0
Slight,Slight,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.959,0.964,0.961,1790.0
accuracy,accuracy,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.961,0.961,0.961,0.961
macro avg,macro avg,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.961,0.961,0.961,3579.0
weighted avg,weighted avg,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.961,0.961,0.961,3579.0
Assistance,Assistance,Cornwall_KNN,train,Cornwall,KNN,0.621,0.563,0.591,1789.0
Slight,Slight,Cornwall_KNN,train,Cornwall,KNN,0.601,0.656,0.627,1790.0
accuracy,accuracy,Cornwall_KNN,train,Cornwall,KNN,0.61,0.61,0.61,0.61
macro avg,macro avg,Cornwall_KNN,train,Cornwall,KNN,0.611,0.61,0.609,3579.0
weighted avg,weighted avg,Cornwall_KNN,train,Cornwall,KNN,0.611,0.61,0.609,3579.0
Assistance,Assistance,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.581,0.618,0.599,1789.0
Slight,Slight,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.592,0.555,0.573,1790.0
accuracy,accuracy,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.586,0.586,0.586,0.586
macro avg,macro avg,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.587,0.586,0.586,3579.0
weighted avg,weighted avg,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.587,0.586,0.586,3579.0
Assistance,Assistance,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.771,0.76,0.766,1789.0
Slight,Slight,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.764,0.775,0.769,1790.0
accuracy,accuracy,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.768,0.768,0.768,0.768
macro avg,macro avg,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.768,0.768,0.768,3579.0
weighted avg,weighted avg,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.768,0.768,0.768,3579.0
Assistance,Assistance,Cornwall_NB,train,Cornwall,NB,0.588,0.532,0.558,1789.0
Slight,Slight,Cornwall_NB,train,Cornwall,NB,0.573,0.627,0.599,1790.0
accuracy,accuracy,Cornwall_NB,train,Cornwall,NB,0.579,0.579,0.579,0.579
macro avg,macro avg,Cornwall_NB,train,Cornwall,NB,0.58,0.579,0.579,3579.0
weighted avg,weighted avg,Cornwall_NB,train,Cornwall,NB,0.58,0.579,0.579,3579.0
Assistance,Assistance,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.573,0.757,0.653,1789.0
Slight,Slight,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.643,0.437,0.521,1790.0
accuracy,accuracy,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.597,0.597,0.597,0.597
macro avg,macro avg,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.608,0.597,0.587,3579.0
weighted avg,weighted avg,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.608,0.597,0.587,3579.0
Assistance,Assistance,Cornwall_SVC,train,Cornwall,SVC,0.709,0.683,0.696,1789.0
Slight,Slight,Cornwall_SVC,train,Cornwall,SVC,0.694,0.72,0.707,1790.0
accuracy,accuracy,Cornwall_SVC,train,Cornwall,SVC,0.701,0.701,0.701,0.701
macro avg,macro avg,Cornwall_SVC,train,Cornwall,SVC,0.702,0.701,0.701,3579.0
weighted avg,weighted avg,Cornwall_SVC,train,Cornwall,SVC,0.702,0.701,0.701,3579.0
