,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Assistance,Assistance,UK_1D-convolution,train,UK,1D-convolution,0.917,0.956,0.936,2351.0
Slight,Slight,UK_1D-convolution,train,UK,1D-convolution,0.954,0.914,0.933,2350.0
accuracy,accuracy,UK_1D-convolution,train,UK,1D-convolution,0.935,0.935,0.935,0.935
macro avg,macro avg,UK_1D-convolution,train,UK,1D-convolution,0.935,0.935,0.935,4701.0
weighted avg,weighted avg,UK_1D-convolution,train,UK,1D-convolution,0.935,0.935,0.935,4701.0
Assistance,Assistance,UK_2D-convolution,train,UK,2D-convolution,0.996,0.989,0.993,2351.0
Slight,Slight,UK_2D-convolution,train,UK,2D-convolution,0.989,0.996,0.993,2350.0
accuracy,accuracy,UK_2D-convolution,train,UK,2D-convolution,0.993,0.993,0.993,0.993
macro avg,macro avg,UK_2D-convolution,train,UK,2D-convolution,0.993,0.993,0.993,4701.0
weighted avg,weighted avg,UK_2D-convolution,train,UK,2D-convolution,0.993,0.993,0.993,4701.0
Assistance,Assistance,UK_KNN,train,UK,KNN,0.807,0.613,0.696,2351.0
Slight,Slight,UK_KNN,train,UK,KNN,0.688,0.854,0.762,2350.0
accuracy,accuracy,UK_KNN,train,UK,KNN,0.733,0.733,0.733,0.733
macro avg,macro avg,UK_KNN,train,UK,KNN,0.747,0.733,0.729,4701.0
weighted avg,weighted avg,UK_KNN,train,UK,KNN,0.747,0.733,0.729,4701.0
Assistance,Assistance,UK_NB,train,UK,NB,0.643,0.793,0.71,2351.0
Slight,Slight,UK_NB,train,UK,NB,0.73,0.559,0.633,2350.0
accuracy,accuracy,UK_NB,train,UK,NB,0.676,0.676,0.676,0.676
macro avg,macro avg,UK_NB,train,UK,NB,0.686,0.676,0.672,4701.0
weighted avg,weighted avg,UK_NB,train,UK,NB,0.686,0.676,0.672,4701.0
Assistance,Assistance,UK_SVC,train,UK,SVC,0.917,0.855,0.885,2351.0
Slight,Slight,UK_SVC,train,UK,SVC,0.864,0.923,0.893,2350.0
accuracy,accuracy,UK_SVC,train,UK,SVC,0.889,0.889,0.889,0.889
macro avg,macro avg,UK_SVC,train,UK,SVC,0.891,0.889,0.889,4701.0
weighted avg,weighted avg,UK_SVC,train,UK,SVC,0.891,0.889,0.889,4701.0
