,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Fatal,Fatal,UK_1D-convolution,train,UK,1D-convolution,0.923,0.842,0.881,11225.0
Serious,Serious,UK_1D-convolution,train,UK,1D-convolution,0.49,0.907,0.636,11226.0
Slight,Slight,UK_1D-convolution,train,UK,1D-convolution,0.847,0.201,0.326,11226.0
accuracy,accuracy,UK_1D-convolution,train,UK,1D-convolution,0.65,0.65,0.65,0.65
macro avg,macro avg,UK_1D-convolution,train,UK,1D-convolution,0.754,0.65,0.614,33677.0
weighted avg,weighted avg,UK_1D-convolution,train,UK,1D-convolution,0.754,0.65,0.614,33677.0
Fatal,Fatal,UK_2D-convolution,train,UK,2D-convolution,0.64,0.998,0.78,11225.0
Serious,Serious,UK_2D-convolution,train,UK,2D-convolution,0.571,0.603,0.586,11226.0
Slight,Slight,UK_2D-convolution,train,UK,2D-convolution,0.866,0.334,0.482,11226.0
accuracy,accuracy,UK_2D-convolution,train,UK,2D-convolution,0.645,0.645,0.645,0.645
macro avg,macro avg,UK_2D-convolution,train,UK,2D-convolution,0.693,0.645,0.616,33677.0
weighted avg,weighted avg,UK_2D-convolution,train,UK,2D-convolution,0.693,0.645,0.616,33677.0
Fatal,Fatal,UK_KNN,train,UK,KNN,0.893,0.992,0.94,11225.0
Serious,Serious,UK_KNN,train,UK,KNN,0.735,0.749,0.742,11226.0
Slight,Slight,UK_KNN,train,UK,KNN,0.802,0.699,0.747,11226.0
accuracy,accuracy,UK_KNN,train,UK,KNN,0.813,0.813,0.813,0.813
macro avg,macro avg,UK_KNN,train,UK,KNN,0.81,0.813,0.809,33677.0
weighted avg,weighted avg,UK_KNN,train,UK,KNN,0.81,0.813,0.809,33677.0
Fatal,Fatal,UK_NB,train,UK,NB,0.804,0.625,0.703,11225.0
Serious,Serious,UK_NB,train,UK,NB,0.514,0.547,0.53,11226.0
Slight,Slight,UK_NB,train,UK,NB,0.633,0.733,0.679,11226.0
accuracy,accuracy,UK_NB,train,UK,NB,0.635,0.635,0.635,0.635
macro avg,macro avg,UK_NB,train,UK,NB,0.65,0.635,0.637,33677.0
weighted avg,weighted avg,UK_NB,train,UK,NB,0.65,0.635,0.637,33677.0
Fatal,Fatal,UK_SVC,train,UK,SVC,0.956,0.99,0.973,11225.0
Serious,Serious,UK_SVC,train,UK,SVC,0.797,0.83,0.813,11226.0
Slight,Slight,UK_SVC,train,UK,SVC,0.85,0.785,0.816,11226.0
accuracy,accuracy,UK_SVC,train,UK,SVC,0.868,0.868,0.868,0.868
macro avg,macro avg,UK_SVC,train,UK,SVC,0.868,0.868,0.867,33677.0
weighted avg,weighted avg,UK_SVC,train,UK,SVC,0.868,0.868,0.867,33677.0
