,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Serious,Serious,UK_1D-convolution,train,UK,1D-convolution,0.737,0.96,0.834,10518.0
Fatal,Fatal,UK_1D-convolution,train,UK,1D-convolution,0.493,0.725,0.587,10518.0
Slight,Slight,UK_1D-convolution,train,UK,1D-convolution,0.876,0.198,0.323,10518.0
accuracy,accuracy,UK_1D-convolution,train,UK,1D-convolution,0.628,0.628,0.628,0.628
macro avg,macro avg,UK_1D-convolution,train,UK,1D-convolution,0.702,0.628,0.581,31554.0
weighted avg,weighted avg,UK_1D-convolution,train,UK,1D-convolution,0.702,0.628,0.581,31554.0
Serious,Serious,UK_2D-convolution,train,UK,2D-convolution,0.984,0.961,0.972,10518.0
Fatal,Fatal,UK_2D-convolution,train,UK,2D-convolution,0.628,0.815,0.71,10518.0
Slight,Slight,UK_2D-convolution,train,UK,2D-convolution,0.759,0.551,0.638,10518.0
accuracy,accuracy,UK_2D-convolution,train,UK,2D-convolution,0.776,0.776,0.776,0.776
macro avg,macro avg,UK_2D-convolution,train,UK,2D-convolution,0.79,0.776,0.773,31554.0
weighted avg,weighted avg,UK_2D-convolution,train,UK,2D-convolution,0.79,0.776,0.773,31554.0
Serious,Serious,UK_KNN,train,UK,KNN,0.883,0.992,0.935,10518.0
Fatal,Fatal,UK_KNN,train,UK,KNN,0.728,0.747,0.737,10518.0
Slight,Slight,UK_KNN,train,UK,KNN,0.803,0.682,0.737,10518.0
accuracy,accuracy,UK_KNN,train,UK,KNN,0.807,0.807,0.807,0.807
macro avg,macro avg,UK_KNN,train,UK,KNN,0.804,0.807,0.803,31554.0
weighted avg,weighted avg,UK_KNN,train,UK,KNN,0.804,0.807,0.803,31554.0
Serious,Serious,UK_NB,train,UK,NB,0.621,0.222,0.327,10518.0
Fatal,Fatal,UK_NB,train,UK,NB,0.424,0.603,0.498,10518.0
Slight,Slight,UK_NB,train,UK,NB,0.576,0.703,0.633,10518.0
accuracy,accuracy,UK_NB,train,UK,NB,0.509,0.509,0.509,0.509
macro avg,macro avg,UK_NB,train,UK,NB,0.54,0.509,0.486,31554.0
weighted avg,weighted avg,UK_NB,train,UK,NB,0.54,0.509,0.486,31554.0
Serious,Serious,UK_SVC,train,UK,SVC,0.964,0.991,0.977,10518.0
Fatal,Fatal,UK_SVC,train,UK,SVC,0.788,0.831,0.809,10518.0
Slight,Slight,UK_SVC,train,UK,SVC,0.844,0.775,0.808,10518.0
accuracy,accuracy,UK_SVC,train,UK,SVC,0.866,0.866,0.866,0.866
macro avg,macro avg,UK_SVC,train,UK,SVC,0.865,0.866,0.865,31554.0
weighted avg,weighted avg,UK_SVC,train,UK,SVC,0.865,0.866,0.865,31554.0
