,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Assistance,Assistance,Cornwall_1D-convolution,train,Cornwall,1D-convolution,0.859,0.876,0.868,2120.0
Slight,Slight,Cornwall_1D-convolution,train,Cornwall,1D-convolution,0.874,0.857,0.865,2120.0
accuracy,accuracy,Cornwall_1D-convolution,train,Cornwall,1D-convolution,0.867,0.867,0.867,0.867
macro avg,macro avg,Cornwall_1D-convolution,train,Cornwall,1D-convolution,0.867,0.867,0.866,4240.0
weighted avg,weighted avg,Cornwall_1D-convolution,train,Cornwall,1D-convolution,0.867,0.867,0.866,4240.0
Assistance,Assistance,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.989,0.982,0.985,2120.0
Slight,Slight,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.982,0.989,0.985,2120.0
accuracy,accuracy,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.985,0.985,0.985,0.985
macro avg,macro avg,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.985,0.985,0.985,4240.0
weighted avg,weighted avg,Cornwall_2D-convolution,train,Cornwall,2D-convolution,0.985,0.985,0.985,4240.0
Assistance,Assistance,Cornwall_KNN,train,Cornwall,KNN,0.609,0.704,0.653,2120.0
Slight,Slight,Cornwall_KNN,train,Cornwall,KNN,0.65,0.549,0.595,2120.0
accuracy,accuracy,Cornwall_KNN,train,Cornwall,KNN,0.626,0.626,0.626,0.626
macro avg,macro avg,Cornwall_KNN,train,Cornwall,KNN,0.63,0.626,0.624,4240.0
weighted avg,weighted avg,Cornwall_KNN,train,Cornwall,KNN,0.63,0.626,0.624,4240.0
Assistance,Assistance,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.624,0.667,0.645,2120.0
Slight,Slight,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.642,0.598,0.619,2120.0
accuracy,accuracy,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.633,0.633,0.633,0.633
macro avg,macro avg,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.633,0.633,0.632,4240.0
weighted avg,weighted avg,Cornwall_Logistic-Regression,train,Cornwall,Logistic-Regression,0.633,0.633,0.632,4240.0
Assistance,Assistance,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.823,0.835,0.829,2120.0
Slight,Slight,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.832,0.82,0.826,2120.0
accuracy,accuracy,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.828,0.828,0.828,0.828
macro avg,macro avg,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.828,0.828,0.828,4240.0
weighted avg,weighted avg,Cornwall_ML-Perceptron,train,Cornwall,ML-Perceptron,0.828,0.828,0.828,4240.0
Assistance,Assistance,Cornwall_NB,train,Cornwall,NB,0.563,0.789,0.657,2120.0
Slight,Slight,Cornwall_NB,train,Cornwall,NB,0.648,0.389,0.486,2120.0
accuracy,accuracy,Cornwall_NB,train,Cornwall,NB,0.589,0.589,0.589,0.589
macro avg,macro avg,Cornwall_NB,train,Cornwall,NB,0.606,0.589,0.572,4240.0
weighted avg,weighted avg,Cornwall_NB,train,Cornwall,NB,0.606,0.589,0.572,4240.0
Assistance,Assistance,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.628,0.866,0.728,2120.0
Slight,Slight,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.784,0.487,0.601,2120.0
accuracy,accuracy,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.676,0.676,0.676,0.676
macro avg,macro avg,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.706,0.676,0.664,4240.0
weighted avg,weighted avg,Cornwall_Random-Forest,train,Cornwall,Random-Forest,0.706,0.676,0.664,4240.0
Assistance,Assistance,Cornwall_SVC,train,Cornwall,SVC,0.743,0.813,0.776,2120.0
Slight,Slight,Cornwall_SVC,train,Cornwall,SVC,0.793,0.719,0.755,2120.0
accuracy,accuracy,Cornwall_SVC,train,Cornwall,SVC,0.766,0.766,0.766,0.766
macro avg,macro avg,Cornwall_SVC,train,Cornwall,SVC,0.768,0.766,0.766,4240.0
weighted avg,weighted avg,Cornwall_SVC,train,Cornwall,SVC,0.768,0.766,0.766,4240.0
