,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Assistance,Assistance,Southwark_2D-convolution,train,Southwark,2D-convolution,0.994,0.998,0.996,2456.0
Slight,Slight,Southwark_2D-convolution,train,Southwark,2D-convolution,0.998,0.994,0.996,2456.0
accuracy,accuracy,Southwark_2D-convolution,train,Southwark,2D-convolution,0.996,0.996,0.996,0.996
macro avg,macro avg,Southwark_2D-convolution,train,Southwark,2D-convolution,0.996,0.996,0.996,4912.0
weighted avg,weighted avg,Southwark_2D-convolution,train,Southwark,2D-convolution,0.996,0.996,0.996,4912.0
Assistance,Assistance,Southwark_KNN,train,Southwark,KNN,0.637,0.831,0.721,2456.0
Slight,Slight,Southwark_KNN,train,Southwark,KNN,0.757,0.527,0.622,2456.0
accuracy,accuracy,Southwark_KNN,train,Southwark,KNN,0.679,0.679,0.679,0.679
macro avg,macro avg,Southwark_KNN,train,Southwark,KNN,0.697,0.679,0.671,4912.0
weighted avg,weighted avg,Southwark_KNN,train,Southwark,KNN,0.697,0.679,0.671,4912.0
Assistance,Assistance,Southwark_Logistic-Regression,train,Southwark,Logistic-Regression,0.62,0.594,0.607,2456.0
Slight,Slight,Southwark_Logistic-Regression,train,Southwark,Logistic-Regression,0.61,0.635,0.622,2456.0
accuracy,accuracy,Southwark_Logistic-Regression,train,Southwark,Logistic-Regression,0.615,0.615,0.615,0.615
macro avg,macro avg,Southwark_Logistic-Regression,train,Southwark,Logistic-Regression,0.615,0.615,0.614,4912.0
weighted avg,weighted avg,Southwark_Logistic-Regression,train,Southwark,Logistic-Regression,0.615,0.615,0.614,4912.0
Assistance,Assistance,Southwark_ML-Perceptron,train,Southwark,ML-Perceptron,0.948,0.979,0.963,2456.0
Slight,Slight,Southwark_ML-Perceptron,train,Southwark,ML-Perceptron,0.978,0.947,0.962,2456.0
accuracy,accuracy,Southwark_ML-Perceptron,train,Southwark,ML-Perceptron,0.963,0.963,0.963,0.963
macro avg,macro avg,Southwark_ML-Perceptron,train,Southwark,ML-Perceptron,0.963,0.963,0.963,4912.0
weighted avg,weighted avg,Southwark_ML-Perceptron,train,Southwark,ML-Perceptron,0.963,0.963,0.963,4912.0
Assistance,Assistance,Southwark_NB,train,Southwark,NB,0.585,0.85,0.693,2456.0
Slight,Slight,Southwark_NB,train,Southwark,NB,0.726,0.397,0.513,2456.0
accuracy,accuracy,Southwark_NB,train,Southwark,NB,0.623,0.623,0.623,0.623
macro avg,macro avg,Southwark_NB,train,Southwark,NB,0.655,0.623,0.603,4912.0
weighted avg,weighted avg,Southwark_NB,train,Southwark,NB,0.655,0.623,0.603,4912.0
Assistance,Assistance,Southwark_Random-Forest,train,Southwark,Random-Forest,0.621,0.811,0.704,2456.0
Slight,Slight,Southwark_Random-Forest,train,Southwark,Random-Forest,0.728,0.506,0.597,2456.0
accuracy,accuracy,Southwark_Random-Forest,train,Southwark,Random-Forest,0.658,0.658,0.658,0.658
macro avg,macro avg,Southwark_Random-Forest,train,Southwark,Random-Forest,0.675,0.658,0.65,4912.0
weighted avg,weighted avg,Southwark_Random-Forest,train,Southwark,Random-Forest,0.675,0.658,0.65,4912.0
Assistance,Assistance,Southwark_SVC,train,Southwark,SVC,0.797,0.911,0.85,2456.0
Slight,Slight,Southwark_SVC,train,Southwark,SVC,0.896,0.768,0.827,2456.0
accuracy,accuracy,Southwark_SVC,train,Southwark,SVC,0.84,0.84,0.84,0.84
macro avg,macro avg,Southwark_SVC,train,Southwark,SVC,0.847,0.84,0.839,4912.0
weighted avg,weighted avg,Southwark_SVC,train,Southwark,SVC,0.847,0.84,0.839,4912.0
