,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Fatal,Fatal,UK_1D-convolution,train,UK,1D-convolution,0.8,0.95,0.869,14013.0
Serious,Serious,UK_1D-convolution,train,UK,1D-convolution,0.731,0.244,0.365,14012.0
Slight,Slight,UK_1D-convolution,train,UK,1D-convolution,0.579,0.857,0.691,14013.0
accuracy,accuracy,UK_1D-convolution,train,UK,1D-convolution,0.683,0.683,0.683,0.683
macro avg,macro avg,UK_1D-convolution,train,UK,1D-convolution,0.703,0.683,0.642,42038.0
weighted avg,weighted avg,UK_1D-convolution,train,UK,1D-convolution,0.703,0.683,0.642,42038.0
Fatal,Fatal,UK_2D-convolution,train,UK,2D-convolution,0.961,0.987,0.974,14013.0
Serious,Serious,UK_2D-convolution,train,UK,2D-convolution,0.577,0.914,0.707,14012.0
Slight,Slight,UK_2D-convolution,train,UK,2D-convolution,0.85,0.33,0.475,14013.0
accuracy,accuracy,UK_2D-convolution,train,UK,2D-convolution,0.744,0.744,0.744,0.744
macro avg,macro avg,UK_2D-convolution,train,UK,2D-convolution,0.796,0.744,0.719,42038.0
weighted avg,weighted avg,UK_2D-convolution,train,UK,2D-convolution,0.796,0.744,0.719,42038.0
Fatal,Fatal,UK_KNN,train,UK,KNN,0.876,0.99,0.929,14013.0
Serious,Serious,UK_KNN,train,UK,KNN,0.723,0.78,0.75,14012.0
Slight,Slight,UK_KNN,train,UK,KNN,0.818,0.647,0.723,14013.0
accuracy,accuracy,UK_KNN,train,UK,KNN,0.806,0.806,0.806,0.806
macro avg,macro avg,UK_KNN,train,UK,KNN,0.806,0.806,0.801,42038.0
weighted avg,weighted avg,UK_KNN,train,UK,KNN,0.806,0.806,0.801,42038.0
Fatal,Fatal,UK_NB,train,UK,NB,0.703,0.683,0.693,14013.0
Serious,Serious,UK_NB,train,UK,NB,0.576,0.667,0.618,14012.0
Slight,Slight,UK_NB,train,UK,NB,0.61,0.531,0.568,14013.0
accuracy,accuracy,UK_NB,train,UK,NB,0.627,0.627,0.627,0.627
macro avg,macro avg,UK_NB,train,UK,NB,0.63,0.627,0.626,42038.0
weighted avg,weighted avg,UK_NB,train,UK,NB,0.63,0.627,0.626,42038.0
Fatal,Fatal,UK_SVC,train,UK,SVC,0.95,0.984,0.967,14013.0
Serious,Serious,UK_SVC,train,UK,SVC,0.775,0.842,0.807,14012.0
Slight,Slight,UK_SVC,train,UK,SVC,0.856,0.751,0.8,14013.0
accuracy,accuracy,UK_SVC,train,UK,SVC,0.859,0.859,0.859,0.859
macro avg,macro avg,UK_SVC,train,UK,SVC,0.86,0.859,0.858,42038.0
weighted avg,weighted avg,UK_SVC,train,UK,SVC,0.86,0.859,0.858,42038.0
