,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Slight,Slight,UK_1D-convolution,train,UK,1D-convolution,0.801,0.935,0.863,55964.0
Assistance,Assistance,UK_1D-convolution,train,UK,1D-convolution,0.922,0.768,0.838,55964.0
accuracy,accuracy,UK_1D-convolution,train,UK,1D-convolution,0.851,0.851,0.851,0.851
macro avg,macro avg,UK_1D-convolution,train,UK,1D-convolution,0.861,0.851,0.85,111928.0
weighted avg,weighted avg,UK_1D-convolution,train,UK,1D-convolution,0.861,0.851,0.85,111928.0
Slight,Slight,UK_2D-convolution,train,UK,2D-convolution,0.827,0.829,0.828,55964.0
Assistance,Assistance,UK_2D-convolution,train,UK,2D-convolution,0.828,0.826,0.827,55964.0
accuracy,accuracy,UK_2D-convolution,train,UK,2D-convolution,0.828,0.828,0.828,0.828
macro avg,macro avg,UK_2D-convolution,train,UK,2D-convolution,0.828,0.828,0.828,111928.0
weighted avg,weighted avg,UK_2D-convolution,train,UK,2D-convolution,0.828,0.828,0.828,111928.0
Slight,Slight,UK_KNN,train,UK,KNN,0.835,0.762,0.797,55964.0
Assistance,Assistance,UK_KNN,train,UK,KNN,0.781,0.85,0.814,55964.0
accuracy,accuracy,UK_KNN,train,UK,KNN,0.806,0.806,0.806,0.806
macro avg,macro avg,UK_KNN,train,UK,KNN,0.808,0.806,0.805,111928.0
weighted avg,weighted avg,UK_KNN,train,UK,KNN,0.808,0.806,0.805,111928.0
Slight,Slight,UK_NB,train,UK,NB,0.637,0.821,0.717,55964.0
Assistance,Assistance,UK_NB,train,UK,NB,0.748,0.533,0.622,55964.0
accuracy,accuracy,UK_NB,train,UK,NB,0.677,0.677,0.677,0.677
macro avg,macro avg,UK_NB,train,UK,NB,0.693,0.677,0.67,111928.0
weighted avg,weighted avg,UK_NB,train,UK,NB,0.693,0.677,0.67,111928.0
Slight,Slight,UK_SVC,train,UK,SVC,0.838,0.843,0.841,55964.0
Assistance,Assistance,UK_SVC,train,UK,SVC,0.842,0.837,0.84,55964.0
accuracy,accuracy,UK_SVC,train,UK,SVC,0.84,0.84,0.84,0.84
macro avg,macro avg,UK_SVC,train,UK,SVC,0.84,0.84,0.84,111928.0
weighted avg,weighted avg,UK_SVC,train,UK,SVC,0.84,0.84,0.84,111928.0
