,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Assistance,Assistance,Liverpool_2D-convolution,train,Liverpool,2D-convolution,0.991,0.993,0.992,4858.0
Slight,Slight,Liverpool_2D-convolution,train,Liverpool,2D-convolution,0.993,0.991,0.992,4858.0
accuracy,accuracy,Liverpool_2D-convolution,train,Liverpool,2D-convolution,0.992,0.992,0.992,0.992
macro avg,macro avg,Liverpool_2D-convolution,train,Liverpool,2D-convolution,0.992,0.992,0.992,9716.0
weighted avg,weighted avg,Liverpool_2D-convolution,train,Liverpool,2D-convolution,0.992,0.992,0.992,9716.0
Assistance,Assistance,Liverpool_KNN,train,Liverpool,KNN,0.7,0.836,0.762,4858.0
Slight,Slight,Liverpool_KNN,train,Liverpool,KNN,0.797,0.642,0.711,4858.0
accuracy,accuracy,Liverpool_KNN,train,Liverpool,KNN,0.739,0.739,0.739,0.739
macro avg,macro avg,Liverpool_KNN,train,Liverpool,KNN,0.748,0.739,0.737,9716.0
weighted avg,weighted avg,Liverpool_KNN,train,Liverpool,KNN,0.748,0.739,0.737,9716.0
Assistance,Assistance,Liverpool_Logistic-Regression,train,Liverpool,Logistic-Regression,0.714,0.636,0.672,4858.0
Slight,Slight,Liverpool_Logistic-Regression,train,Liverpool,Logistic-Regression,0.672,0.745,0.706,4858.0
accuracy,accuracy,Liverpool_Logistic-Regression,train,Liverpool,Logistic-Regression,0.69,0.69,0.69,0.69
macro avg,macro avg,Liverpool_Logistic-Regression,train,Liverpool,Logistic-Regression,0.693,0.69,0.689,9716.0
weighted avg,weighted avg,Liverpool_Logistic-Regression,train,Liverpool,Logistic-Regression,0.693,0.69,0.689,9716.0
Assistance,Assistance,Liverpool_ML-Perceptron,train,Liverpool,ML-Perceptron,0.943,0.964,0.953,4858.0
Slight,Slight,Liverpool_ML-Perceptron,train,Liverpool,ML-Perceptron,0.964,0.941,0.952,4858.0
accuracy,accuracy,Liverpool_ML-Perceptron,train,Liverpool,ML-Perceptron,0.953,0.953,0.953,0.953
macro avg,macro avg,Liverpool_ML-Perceptron,train,Liverpool,ML-Perceptron,0.953,0.953,0.953,9716.0
weighted avg,weighted avg,Liverpool_ML-Perceptron,train,Liverpool,ML-Perceptron,0.953,0.953,0.953,9716.0
Assistance,Assistance,Liverpool_NB,train,Liverpool,NB,0.591,0.832,0.691,4858.0
Slight,Slight,Liverpool_NB,train,Liverpool,NB,0.716,0.424,0.533,4858.0
accuracy,accuracy,Liverpool_NB,train,Liverpool,NB,0.628,0.628,0.628,0.628
macro avg,macro avg,Liverpool_NB,train,Liverpool,NB,0.654,0.628,0.612,9716.0
weighted avg,weighted avg,Liverpool_NB,train,Liverpool,NB,0.654,0.628,0.612,9716.0
Assistance,Assistance,Liverpool_Random-Forest,train,Liverpool,Random-Forest,0.703,0.735,0.719,4858.0
Slight,Slight,Liverpool_Random-Forest,train,Liverpool,Random-Forest,0.723,0.69,0.706,4858.0
accuracy,accuracy,Liverpool_Random-Forest,train,Liverpool,Random-Forest,0.713,0.713,0.713,0.713
macro avg,macro avg,Liverpool_Random-Forest,train,Liverpool,Random-Forest,0.713,0.713,0.713,9716.0
weighted avg,weighted avg,Liverpool_Random-Forest,train,Liverpool,Random-Forest,0.713,0.713,0.713,9716.0
Assistance,Assistance,Liverpool_SVC,train,Liverpool,SVC,0.857,0.887,0.872,4858.0
Slight,Slight,Liverpool_SVC,train,Liverpool,SVC,0.883,0.852,0.867,4858.0
accuracy,accuracy,Liverpool_SVC,train,Liverpool,SVC,0.87,0.87,0.87,0.87
macro avg,macro avg,Liverpool_SVC,train,Liverpool,SVC,0.87,0.87,0.87,9716.0
weighted avg,weighted avg,Liverpool_SVC,train,Liverpool,SVC,0.87,0.87,0.87,9716.0
