,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Assistance,Assistance,Victoria_2D-convolution,train,Victoria,2D-convolution,0.954,0.921,0.937,1838.0
Slight,Slight,Victoria_2D-convolution,train,Victoria,2D-convolution,0.924,0.956,0.94,1838.0
accuracy,accuracy,Victoria_2D-convolution,train,Victoria,2D-convolution,0.939,0.939,0.939,0.939
macro avg,macro avg,Victoria_2D-convolution,train,Victoria,2D-convolution,0.939,0.939,0.939,3676.0
weighted avg,weighted avg,Victoria_2D-convolution,train,Victoria,2D-convolution,0.939,0.939,0.939,3676.0
Assistance,Assistance,Victoria_KNN,train,Victoria,KNN,0.67,0.49,0.566,1838.0
Slight,Slight,Victoria_KNN,train,Victoria,KNN,0.598,0.758,0.669,1838.0
accuracy,accuracy,Victoria_KNN,train,Victoria,KNN,0.624,0.624,0.624,0.624
macro avg,macro avg,Victoria_KNN,train,Victoria,KNN,0.634,0.624,0.617,3676.0
weighted avg,weighted avg,Victoria_KNN,train,Victoria,KNN,0.634,0.624,0.617,3676.0
Assistance,Assistance,Victoria_Logistic-Regression,train,Victoria,Logistic-Regression,0.603,0.548,0.575,1838.0
Slight,Slight,Victoria_Logistic-Regression,train,Victoria,Logistic-Regression,0.586,0.639,0.612,1838.0
accuracy,accuracy,Victoria_Logistic-Regression,train,Victoria,Logistic-Regression,0.594,0.594,0.594,0.594
macro avg,macro avg,Victoria_Logistic-Regression,train,Victoria,Logistic-Regression,0.595,0.594,0.593,3676.0
weighted avg,weighted avg,Victoria_Logistic-Regression,train,Victoria,Logistic-Regression,0.595,0.594,0.593,3676.0
Assistance,Assistance,Victoria_ML-Perceptron,train,Victoria,ML-Perceptron,0.808,0.743,0.774,1838.0
Slight,Slight,Victoria_ML-Perceptron,train,Victoria,ML-Perceptron,0.762,0.824,0.792,1838.0
accuracy,accuracy,Victoria_ML-Perceptron,train,Victoria,ML-Perceptron,0.783,0.783,0.783,0.783
macro avg,macro avg,Victoria_ML-Perceptron,train,Victoria,ML-Perceptron,0.785,0.783,0.783,3676.0
weighted avg,weighted avg,Victoria_ML-Perceptron,train,Victoria,ML-Perceptron,0.785,0.783,0.783,3676.0
Assistance,Assistance,Victoria_NB,train,Victoria,NB,0.694,0.34,0.457,1838.0
Slight,Slight,Victoria_NB,train,Victoria,NB,0.563,0.85,0.678,1838.0
accuracy,accuracy,Victoria_NB,train,Victoria,NB,0.595,0.595,0.595,0.595
macro avg,macro avg,Victoria_NB,train,Victoria,NB,0.629,0.595,0.567,3676.0
weighted avg,weighted avg,Victoria_NB,train,Victoria,NB,0.629,0.595,0.567,3676.0
Assistance,Assistance,Victoria_Random-Forest,train,Victoria,Random-Forest,0.867,0.238,0.373,1838.0
Slight,Slight,Victoria_Random-Forest,train,Victoria,Random-Forest,0.558,0.964,0.707,1838.0
accuracy,accuracy,Victoria_Random-Forest,train,Victoria,Random-Forest,0.601,0.601,0.601,0.601
macro avg,macro avg,Victoria_Random-Forest,train,Victoria,Random-Forest,0.713,0.601,0.54,3676.0
weighted avg,weighted avg,Victoria_Random-Forest,train,Victoria,Random-Forest,0.713,0.601,0.54,3676.0
Assistance,Assistance,Victoria_SVC,train,Victoria,SVC,0.737,0.622,0.675,1838.0
Slight,Slight,Victoria_SVC,train,Victoria,SVC,0.673,0.778,0.722,1838.0
accuracy,accuracy,Victoria_SVC,train,Victoria,SVC,0.7,0.7,0.7,0.7
macro avg,macro avg,Victoria_SVC,train,Victoria,SVC,0.705,0.7,0.698,3676.0
weighted avg,weighted avg,Victoria_SVC,train,Victoria,SVC,0.705,0.7,0.698,3676.0
