,precision,recall,f1-score,support
Assistance,0.671,0.834,0.744,2861.0
Slight,0.781,0.59,0.672,2861.0
accuracy,0.712,0.712,0.712,0.712
macro avg,0.726,0.712,0.708,5722.0
weighted avg,0.726,0.712,0.708,5722.0
