,precision,recall,f1-score,support
Slight,0.6,0.924,0.727,622.0
Assistance,0.835,0.382,0.524,621.0
accuracy,0.653,0.653,0.653,0.653
macro avg,0.717,0.653,0.626,1243.0
weighted avg,0.717,0.653,0.626,1243.0
