,precision,recall,f1-score,support
Assistance,0.81,0.259,0.393,1855.0
Slight,0.559,0.939,0.701,1855.0
accuracy,0.599,0.599,0.599,0.599
macro avg,0.684,0.599,0.547,3710.0
weighted avg,0.684,0.599,0.547,3710.0
