,precision,recall,f1-score,support
Assistance,0.79,0.251,0.381,1863.0
Slight,0.555,0.933,0.696,1863.0
accuracy,0.592,0.592,0.592,0.592
macro avg,0.672,0.592,0.538,3726.0
weighted avg,0.672,0.592,0.538,3726.0
