,precision,recall,f1-score,support
Slight,0.809,0.59,0.682,1653.0
Assistance,0.678,0.861,0.759,1659.0
accuracy,0.726,0.726,0.726,0.726
macro avg,0.744,0.726,0.721,3312.0
weighted avg,0.744,0.726,0.721,3312.0
