,precision,recall,f1-score,support
Slight,0.599,0.936,0.731,1653.0
Assistance,0.855,0.377,0.523,1659.0
accuracy,0.656,0.656,0.656,0.656
macro avg,0.727,0.656,0.627,3312.0
weighted avg,0.727,0.656,0.627,3312.0
