,precision,recall,f1-score,support
Assistance,0.756,0.5,0.602,1416.0
Slight,0.626,0.838,0.717,1416.0
accuracy,0.669,0.669,0.669,0.669
macro avg,0.691,0.669,0.659,2832.0
weighted avg,0.691,0.669,0.659,2832.0
