,precision,recall,f1-score,support
Assistance,0.783,0.496,0.607,1792.0
Slight,0.631,0.862,0.729,1792.0
accuracy,0.679,0.679,0.679,0.679
macro avg,0.707,0.679,0.668,3584.0
weighted avg,0.707,0.679,0.668,3584.0
