,precision,recall,f1-score,support
Slight,0.9176809737347854,0.8061339335959482,0.8582983822648291,3554.0
Serious,0.2441717791411043,0.41458333333333336,0.3073359073359074,480.0
Fatal,0.04,0.17857142857142858,0.06535947712418301,28.0
accuracy,0.7555391432791728,0.7555391432791728,0.7555391432791728,0.7555391432791728
macro avg,0.40061758429196326,0.4664295651669034,0.4103312555749732,4062.0
weighted avg,0.8320434846482416,0.7555391432791728,0.7877261820408457,4062.0
