,precision,recall,f1-score,support
Serious,0.921,0.712,0.803,2775.0
Slight,0.26,0.535,0.35,428.0
Fatal,0.025,0.192,0.043,26.0
accuracy,0.684,0.684,0.684,0.684
macro avg,0.402,0.48,0.399,3229.0
weighted avg,0.826,0.684,0.737,3229.0
