,hora,tipo_carretera,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,coordenada_x_utm,coordenada_y_utm,drogas_alcohol_positivo,vehiculos_implicados,dia_semana,semana_en_año,Latitude,Longitude
31287,2,19,19.0,6,1.0,5.0,3.0,4,2,Serious,442875.475,4470569.167,2,2,1,11,40.38375596656348,-3.673001335484612
24804,1,19,2.0,6,1.0,5.0,1.0,3,1,Slight,438221.447,4470583.567,2,2,4,49,40.383553605800174,-3.727829209564115
24805,1,19,2.0,6,1.0,5.0,3.0,4,1,Serious,438221.447,4470583.567,2,2,4,49,40.383553605800174,-3.727829209564115
30202,2,17,19.0,2,1.0,5.0,1.0,3,1,Serious,443532.869,4470609.962,2,3,6,8,40.38416828482328,-3.665260490967556
30203,2,17,19.0,2,1.0,5.0,1.0,3,1,Slight,443532.869,4470609.962,2,3,6,8,40.38416828482328,-3.665260490967556
30204,2,17,19.0,2,1.0,5.0,2.0,3,1,Slight,443532.869,4470609.962,2,3,6,8,40.38416828482328,-3.665260490967556
25504,1,19,1.0,5,1.0,5.0,1.0,3,2,Serious,435846.872,4470649.107,2,6,7,50,40.38396456823959,-3.7558090299052425
25505,1,19,1.0,5,1.0,5.0,1.0,3,1,Slight,435846.872,4470649.107,2,6,7,50,40.38396456823959,-3.7558090299052425
25506,1,19,1.0,5,1.0,5.0,2.0,3,1,Slight,435846.872,4470649.107,2,6,7,50,40.38396456823959,-3.7558090299052425
25507,1,19,1.0,5,1.0,5.0,2.0,3,2,Serious,435846.872,4470649.107,2,6,7,50,40.38396456823959,-3.7558090299052425
12136,2,17,19.0,3,1.0,1.0,1.0,2,1,Serious,444302.721,4470722.83,2,1,5,23,40.38523688861387,-3.656201010229038
35639,1,17,16.0,6,4.0,6.0,1.0,3,1,Slight,439586.49,4470738.6,2,2,2,33,40.38505031672344,-3.7117631730337495
35640,1,17,16.0,6,4.0,6.0,3.0,3,2,Serious,439586.49,4470738.6,2,2,2,33,40.38505031672344,-3.7117631730337495
54299,1,17,2.0,2,1.0,12.0,1.0,3,1,Slight,438655.39,4470759.51,2,2,4,34,40.3851706479593,-3.72273414160498
54300,1,17,2.0,2,1.0,3.0,1.0,3,1,Serious,438655.39,4470759.51,2,2,4,34,40.3851706479593,-3.72273414160498
