,hora,tipo_carretera,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,coordenada_x_utm,coordenada_y_utm,drogas_alcohol_positivo,vehiculos_implicados,dia_semana,semana_en_año,Latitude,Longitude
50204,1,0,19.0,4,1.0,5.0,2.0,3,2,Slight,443224.83,4472185.35,2,3,7,22,40.3983393546352,-3.669029815379953
51414,2,18,19.0,6,1.0,5.0,1.0,3,1,Slight,443224.83,4472185.35,2,2,5,25,40.3983393546352,-3.669029815379953
51415,2,18,19.0,6,1.0,5.0,3.0,2,2,Slight,443224.83,4472185.35,2,2,5,25,40.3983393546352,-3.669029815379953
54158,2,18,19.0,4,1.0,5.0,1.0,3,1,Slight,443224.83,4472185.35,2,2,5,33,40.3983393546352,-3.669029815379953
54159,2,18,19.0,4,1.0,5.0,1.0,3,2,Slight,443224.83,4472185.35,2,2,5,33,40.3983393546352,-3.669029815379953
15500,2,18,19.0,1,1.0,4.0,1.0,3,1,Fatal,443218.716,4472205.705,2,1,6,30,40.3985223071224,-3.669103672508839
17423,2,19,1.0,6,1.0,5.0,1.0,3,1,Slight,437611.977,4472221.022,2,2,3,36,40.398259123686685,-3.7351693714883063
17424,2,19,1.0,6,1.0,5.0,3.0,3,1,Serious,437611.977,4472221.022,2,2,3,36,40.398259123686685,-3.7351693714883063
20173,1,19,2.0,2,1.0,4.0,1.0,3,2,Slight,437611.381,4472212.448,2,3,1,40,40.39818184068933,-3.735175553927135
20174,1,19,2.0,2,1.0,5.0,1.0,3,1,Slight,437611.381,4472212.448,2,3,1,40,40.39818184068933,-3.735175553927135
20175,1,19,2.0,2,1.0,5.0,2.0,3,1,Slight,437611.381,4472212.448,2,3,1,40,40.39818184068933,-3.735175553927135
30441,2,17,1.0,2,1.0,3.0,1.0,3,1,Serious,434862.728,4472236.792,2,2,3,9,40.3981906842623,-3.767564948026922
30442,2,17,1.0,2,1.0,5.0,1.0,3,1,Slight,434862.728,4472236.792,2,2,3,9,40.3981906842623,-3.767564948026922
46990,1,19,14.0,6,3.0,5.0,1.0,3,1,Slight,442459.0,4472246.33,2,3,7,14,40.39883613172975,-3.678059153639019
46991,1,19,14.0,6,3.0,5.0,3.0,3,1,Serious,442459.0,4472246.33,2,3,7,14,40.39883613172975,-3.678059153639019
7716,1,19,1.0,4,1.0,4.0,1.0,3,1,Serious,436840.708,4472260.652,2,2,1,16,40.398557989408985,-3.744261077025096
7717,1,19,1.0,4,1.0,5.0,1.0,3,1,Slight,436840.708,4472260.652,2,2,1,16,40.398557989408985,-3.744261077025096
48863,2,17,1.0,5,1.0,3.0,1.0,3,1,Serious,436814.21,4472294.15,2,2,5,19,40.39885774327422,-3.744576625605512
48864,2,17,1.0,5,1.0,5.0,1.0,2,2,Slight,436814.21,4472294.15,2,2,5,19,40.39885774327422,-3.744576625605512
2698,2,19,1.0,0,1.0,6.0,1.0,3,1,Slight,436836.024,4472314.738,2,3,1,6,40.39904486346366,-3.74432163420592
2699,2,19,1.0,0,1.0,6.0,2.0,3,2,Slight,436836.024,4472314.738,2,3,1,6,40.39904486346366,-3.74432163420592
2700,2,19,1.0,0,1.0,5.0,1.0,3,1,Slight,436836.024,4472314.738,2,3,1,6,40.39904486346366,-3.74432163420592
39080,1,17,1.0,8,1.0,5.0,1.0,3,2,Slight,436833.55,4472316.611,2,3,1,44,40.399061548572895,-3.744350971217176
39081,1,17,1.0,8,1.0,5.0,1.0,3,1,Slight,436833.55,4472316.611,2,3,1,44,40.399061548572895,-3.744350971217176
44740,1,17,1.0,2,1.0,2.0,1.0,3,1,Serious,436834.12,4472318.94,2,3,7,8,40.39908257241456,-3.7443444859698976
44741,1,17,1.0,2,1.0,5.0,1.0,3,2,Slight,436834.12,4472318.94,2,3,7,8,40.39908257241456,-3.7443444859698976
44742,1,17,1.0,2,1.0,5.0,2.0,1,2,Slight,436834.12,4472318.94,2,3,7,8,40.39908257241456,-3.7443444859698976
45700,1,17,1.0,4,1.0,9.0,1.0,3,1,Slight,436834.12,4472318.94,2,2,1,11,40.39908257241456,-3.7443444859698976
45701,1,17,1.0,4,1.0,5.0,1.0,3,2,Slight,436834.12,4472318.94,2,2,1,11,40.39908257241456,-3.7443444859698976
3464,2,16,1.0,2,1.0,4.0,1.0,3,1,Serious,434894.268,4472324.44,2,2,2,8,40.39898271636509,-3.7672022812641086
3465,2,16,1.0,2,1.0,5.0,1.0,3,2,Slight,434894.268,4472324.44,2,2,2,8,40.39898271636509,-3.7672022812641086
31330,1,18,2.0,4,1.0,9.0,1.0,3,1,Slight,438946.45,4472345.541,2,3,2,11,40.399479754359696,-3.719457308239196
31331,1,18,2.0,4,1.0,5.0,1.0,3,2,Slight,438946.45,4472345.541,2,3,2,11,40.399479754359696,-3.719457308239196
31332,1,18,2.0,4,1.0,5.0,1.0,3,1,Slight,438946.45,4472345.541,2,3,2,11,40.399479754359696,-3.719457308239196
34171,2,18,14.0,0,1.0,4.0,1.0,3,1,Serious,438946.935,4472350.499,2,3,3,28,40.39952445389979,-3.719452068876356
34172,2,18,14.0,0,1.0,5.0,1.0,3,1,Slight,438946.935,4472350.499,2,3,3,28,40.39952445389979,-3.719452068876356
34173,2,18,14.0,0,1.0,5.0,2.0,3,2,Slight,438946.935,4472350.499,2,3,3,28,40.39952445389979,-3.719452068876356
43179,1,3,14.0,0,1.0,1.0,1.0,3,1,Slight,439694.55,4472364.82,2,2,6,3,40.39970794170996,-3.71064414312435
43180,1,3,14.0,0,1.0,5.0,1.0,3,1,Slight,439694.55,4472364.82,2,2,6,3,40.39970794170996,-3.71064414312435
44960,1,3,14.0,6,1.0,5.0,1.0,4,1,Slight,439694.55,4472364.82,2,3,5,9,40.39970794170996,-3.71064414312435
44961,1,3,14.0,6,1.0,5.0,2.0,3,2,Slight,439694.55,4472364.82,2,3,5,9,40.39970794170996,-3.71064414312435
44962,1,3,14.0,6,1.0,5.0,3.0,4,1,Serious,439694.55,4472364.82,2,3,5,9,40.39970794170996,-3.71064414312435
46215,2,19,18.0,5,1.0,15.0,1.0,4,1,Serious,453877.75,4472392.01,2,3,5,12,40.4008592661604,-3.543518401073213
46216,2,19,18.0,5,1.0,5.0,1.0,3,2,Slight,453877.75,4472392.01,2,3,5,12,40.4008592661604,-3.543518401073213
46217,2,19,18.0,5,1.0,5.0,2.0,3,2,Slight,453877.75,4472392.01,2,3,5,12,40.4008592661604,-3.543518401073213
43058,1,19,14.0,3,2.0,3.0,1.0,3,1,Slight,441894.68,4472415.79,2,2,3,3,40.40032353343927,-3.6847240798526624
43059,1,19,14.0,3,2.0,3.0,2.0,3,2,Serious,441894.68,4472415.79,2,2,3,3,40.40032353343927,-3.6847240798526624
45653,1,19,15.0,6,1.0,5.0,1.0,3,1,Slight,442733.79,4472420.93,2,2,3,11,40.400427967132494,-3.6748369664069735
45654,1,19,15.0,6,1.0,5.0,3.0,4,1,Serious,442733.79,4472420.93,2,2,3,11,40.400427967132494,-3.6748369664069735
43758,2,3,2.0,2,1.0,6.0,1.0,3,1,Slight,438413.98,4472454.38,2,2,6,5,40.40042101599719,-3.7257420082493207
43759,2,3,2.0,2,1.0,13.0,1.0,3,1,Serious,438413.98,4472454.38,2,2,6,5,40.40042101599719,-3.7257420082493207
45484,1,19,1.0,6,1.0,13.0,3.0,4,2,Fatal,436681.54,4472492.27,2,1,7,10,40.40063241304826,-3.746159578115378
37434,1,19,14.0,3,1.0,3.0,1.0,3,2,Serious,439271.186,4472502.885,2,1,5,39,40.40092092915376,-3.715645900458035
44335,2,19,1.0,0,1.0,6.0,1.0,3,2,Slight,436791.09,4472523.0,2,2,5,7,40.40091756461155,-3.744871769995312
44336,2,19,1.0,0,1.0,1.0,1.0,3,1,Serious,436791.09,4472523.0,2,2,5,7,40.40091756461155,-3.744871769995312
46388,1,19,1.0,4,1.0,4.0,1.0,2,1,Slight,436791.09,4472523.0,2,2,1,13,40.40091756461155,-3.744871769995312
46389,1,19,1.0,4,1.0,5.0,1.0,3,1,Slight,436791.09,4472523.0,2,2,1,13,40.40091756461155,-3.744871769995312
27660,2,19,1.0,5,1.0,9.0,1.0,3,1,Slight,436197.232,4472535.135,1,2,4,3,40.4009815904411,-3.7518706090758
27661,2,19,1.0,5,1.0,9.0,1.0,3,1,Serious,436197.232,4472535.135,2,2,4,3,40.4009815904411,-3.7518706090758
16996,2,19,14.0,6,1.0,4.0,1.0,3,1,Slight,441068.614,4472549.925,2,2,2,35,40.40147383854415,-3.6944703418472287
16997,2,19,14.0,6,1.0,4.0,3.0,3,1,Serious,441068.614,4472549.925,2,2,2,35,40.40147383854415,-3.6944703418472287
16076,2,19,1.0,3,1.0,1.0,1.0,3,1,Serious,437230.295,4472565.834,2,1,1,32,40.40133665542372,-3.7397006873843335
10967,1,3,14.0,4,1.0,1.0,1.0,3,1,Serious,439545.966,4472583.468,2,2,3,22,40.40166685406247,-3.7124157041008448
10968,1,3,14.0,4,1.0,9.0,1.0,3,1,Slight,439545.966,4472583.468,2,2,3,22,40.40166685406247,-3.7124157041008448
28163,2,18,14.0,3,1.0,4.0,1.0,3,1,Serious,438844.338,4472614.001,2,1,4,4,40.40189067352501,-3.7206862995463066
52824,1,19,14.0,2,1.0,8.0,1.0,3,1,Slight,440282.85,4472651.98,2,2,1,29,40.40233721806725,-3.703739006071017
52825,1,19,14.0,2,1.0,3.0,1.0,3,1,Serious,440282.85,4472651.98,2,2,1,29,40.40233721806725,-3.703739006071017
36214,2,3,14.0,6,1.0,1.0,1.0,3,1,Slight,440125.238,4472672.122,2,2,6,35,40.402507348250666,-3.7055981518502112
36215,2,3,14.0,6,1.0,1.0,3.0,3,1,Serious,440125.238,4472672.122,2,2,6,35,40.402507348250666,-3.7055981518502112
51989,1,19,15.0,4,1.0,3.0,1.0,3,1,Serious,442829.67,4472682.94,2,2,6,26,40.40279488608919,-3.673730701775616
51990,1,19,15.0,4,1.0,5.0,1.0,3,2,Slight,442829.67,4472682.94,2,2,6,26,40.40279488608919,-3.673730701775616
42974,2,17,15.0,4,1.0,1.0,1.0,2,1,Serious,442433.95,4472704.66,2,2,6,2,40.40296328649771,-3.678395767608669
42975,2,17,15.0,4,1.0,5.0,1.0,4,1,Slight,442433.95,4472704.66,2,2,6,2,40.40296328649771,-3.678395767608669
44153,1,17,15.0,4,1.0,9.0,1.0,3,1,Slight,442433.95,4472704.66,2,2,2,7,40.40296328649771,-3.678395767608669
44154,1,17,15.0,4,1.0,3.0,1.0,2,1,Slight,442433.95,4472704.66,2,2,2,7,40.40296328649771,-3.678395767608669
46189,1,19,1.0,3,1.0,13.0,1.0,3,1,Serious,436229.33,4472731.16,2,1,5,12,40.40274992064258,-3.7515120253212046
2722,2,19,14.0,2,1.0,5.0,1.0,3,1,Slight,440951.161,4472742.024,2,5,6,6,40.4031960431843,-3.695872176858419
2723,2,19,14.0,2,1.0,5.0,2.0,2,2,Serious,440951.161,4472742.024,2,5,6,6,40.4031960431843,-3.695872176858419
2724,2,19,14.0,2,1.0,5.0,2.0,3,1,Slight,440951.161,4472742.024,2,5,6,6,40.4031960431843,-3.695872176858419
2725,2,19,14.0,2,1.0,5.0,2.0,3,2,Slight,440951.161,4472742.024,2,5,6,6,40.4031960431843,-3.695872176858419
6655,1,19,14.0,2,1.0,4.0,1.0,3,1,Slight,440945.718,4472744.522,2,2,1,14,40.40321816040368,-3.69593654818838
6656,1,19,14.0,2,1.0,5.0,1.0,4,1,Slight,440945.718,4472744.522,2,2,1,14,40.40321816040368,-3.69593654818838
31929,1,19,14.0,2,1.0,5.0,1.0,3,1,Slight,440949.552,4472742.159,2,2,3,19,40.40319714522196,-3.6958911496201994
31930,1,19,14.0,2,1.0,5.0,1.0,3,2,Slight,440949.552,4472742.159,2,2,3,19,40.40319714522196,-3.6958911496201994
32538,1,19,14.0,2,1.0,9.0,1.0,3,1,Slight,440950.713,4472743.702,2,2,1,23,40.403211127687854,-3.695877611696191
32539,1,19,14.0,2,1.0,5.0,1.0,4,1,Slight,440950.713,4472743.702,2,2,1,23,40.403211127687854,-3.695877611696191
6381,1,19,3.0,4,1.0,9.0,1.0,3,2,Slight,446405.667,4472763.088,2,4,4,13,40.40375476810719,-3.631598187931278
6382,1,19,3.0,4,1.0,5.0,1.0,3,2,Slight,446405.667,4472763.088,2,4,4,13,40.40375476810719,-3.631598187931278
6383,1,19,3.0,4,1.0,5.0,1.0,3,1,Slight,446405.667,4472763.088,2,4,4,13,40.40375476810719,-3.631598187931278
6384,1,19,3.0,4,1.0,5.0,2.0,3,2,Slight,446405.667,4472763.088,2,4,4,13,40.40375476810719,-3.631598187931278
27891,1,19,3.0,2,2.0,3.0,1.0,3,1,Serious,446407.382,4472767.469,2,2,1,4,40.403794345281526,-3.631578347050457
27892,1,19,3.0,2,2.0,5.0,1.0,4,1,Slight,446407.382,4472767.469,2,2,1,4,40.403794345281526,-3.631578347050457
44193,2,16,18.0,1,1.0,12.0,1.0,3,1,Slight,449729.15,4472773.4,2,1,2,7,40.404054966038494,-3.5924344900267995
52360,1,16,18.0,10,1.0,5.0,1.0,3,2,Serious,449729.15,4472773.4,2,1,6,27,40.404054966038494,-3.5924344900267995
50253,1,3,14.0,4,1.0,3.0,1.0,3,1,Serious,441126.23,4472798.81,2,3,1,23,40.403719997876806,-3.693814439264389
50254,1,3,14.0,4,1.0,5.0,1.0,3,1,Slight,441126.23,4472798.81,2,3,1,23,40.403719997876806,-3.693814439264389
50255,1,3,14.0,4,1.0,5.0,2.0,3,2,Slight,441126.23,4472798.81,2,3,1,23,40.403719997876806,-3.693814439264389
48070,1,19,14.0,2,1.0,4.0,1.0,3,1,Serious,439545.22,4472819.64,2,3,6,17,40.40379434973104,-3.712446925025451
48071,1,19,14.0,2,1.0,4.0,2.0,3,2,Slight,439545.22,4472819.64,2,3,6,17,40.40379434973104,-3.712446925025451
48072,1,19,14.0,2,1.0,5.0,1.0,2,2,Slight,439545.22,4472819.64,2,3,6,17,40.40379434973104,-3.712446925025451
43888,1,3,14.0,2,3.0,12.0,1.0,3,1,Slight,440018.64,4472837.13,2,2,2,6,40.403986148310814,-3.7068698218538128
43889,1,3,14.0,2,3.0,5.0,1.0,3,1,Slight,440018.64,4472837.13,2,2,2,6,40.403986148310814,-3.7068698218538128
44819,2,3,14.0,3,1.0,1.0,1.0,3,1,Slight,440018.64,4472837.13,2,1,5,8,40.403986148310814,-3.7068698218538128
45641,1,3,14.0,5,1.0,9.0,1.0,3,1,Slight,440018.64,4472837.13,2,3,3,11,40.403986148310814,-3.7068698218538128
45642,1,3,14.0,5,1.0,9.0,2.0,3,1,Slight,440018.64,4472837.13,2,3,3,11,40.403986148310814,-3.7068698218538128
45643,1,3,14.0,5,1.0,3.0,1.0,3,2,Serious,440018.64,4472837.13,2,3,3,11,40.403986148310814,-3.7068698218538128
52041,1,19,19.0,2,1.0,4.0,1.0,3,1,Serious,443962.64,4472863.61,2,3,7,26,40.4044994867214,-3.660395834683459
52042,1,19,19.0,2,1.0,5.0,1.0,3,2,Slight,443962.64,4472863.61,1,3,7,26,40.4044994867214,-3.660395834683459
52043,1,19,19.0,2,1.0,5.0,2.0,3,1,Slight,443962.64,4472863.61,2,3,7,26,40.4044994867214,-3.660395834683459
51587,1,3,14.0,5,1.0,3.0,1.0,2,1,Serious,438902.55,4472870.06,2,2,7,25,40.40420164438935,-3.7200249321501375
51588,1,3,14.0,5,1.0,5.0,1.0,2,1,Slight,438902.55,4472870.06,2,2,7,25,40.40420164438935,-3.7200249321501375
48292,1,19,1.0,2,1.0,1.0,1.0,3,1,Serious,436847.52,4472900.03,2,2,3,18,40.4043182880852,-3.744244241980655
48293,1,19,1.0,2,1.0,5.0,1.0,3,2,Slight,436847.52,4472900.03,2,2,3,18,40.4043182880852,-3.744244241980655
27687,1,19,1.0,2,2.0,4.0,1.0,3,2,Slight,436480.164,4472921.737,2,2,4,3,40.4044858882245,-3.748575304399754
27688,1,19,1.0,2,2.0,5.0,1.0,3,2,Slight,436480.164,4472921.737,2,2,4,3,40.4044858882245,-3.748575304399754
28591,2,19,1.0,6,1.0,5.0,1.0,2,2,Slight,436477.517,4472928.783,2,2,5,5,40.4045491594658,-3.748607199732101
28592,2,19,1.0,6,1.0,5.0,3.0,4,2,Serious,436477.517,4472928.783,2,2,5,5,40.4045491594658,-3.748607199732101
45609,2,17,15.0,2,1.0,3.0,1.0,2,1,Serious,442064.86,4472945.91,2,2,2,11,40.40511099466832,-3.682767031481232
45610,2,17,15.0,2,1.0,5.0,1.0,2,1,Slight,442064.86,4472945.91,2,2,2,11,40.40511099466832,-3.682767031481232
50907,1,17,15.0,2,1.0,3.0,1.0,3,1,Slight,442064.86,4472945.91,2,2,3,24,40.40511099466832,-3.682767031481232
50908,1,17,15.0,2,1.0,5.0,1.0,3,2,Slight,442064.86,4472945.91,2,2,3,24,40.40511099466832,-3.682767031481232
42773,1,19,1.0,6,1.0,5.0,1.0,2,1,Slight,436264.31,4472965.26,2,2,2,1,40.4048614646382,-3.751123274925833
42774,1,19,1.0,6,1.0,5.0,3.0,3,2,Serious,436264.31,4472965.26,2,2,2,1,40.4048614646382,-3.751123274925833
51234,1,3,1.0,4,1.0,3.0,1.0,2,1,Slight,436264.31,4472965.26,2,2,1,25,40.4048614646382,-3.751123274925833
51235,1,3,1.0,4,1.0,5.0,1.0,3,1,Slight,436264.31,4472965.26,2,2,1,25,40.4048614646382,-3.751123274925833
330,1,3,1.0,6,1.0,12.0,1.0,3,1,Slight,437027.71,4472985.655,2,3,4,2,40.40510328154217,-3.7421293657424575
331,1,3,1.0,6,1.0,12.0,2.0,3,1,Slight,437027.71,4472985.655,2,3,4,2,40.40510328154217,-3.7421293657424575
332,1,3,1.0,6,1.0,12.0,3.0,3,1,Serious,437027.71,4472985.655,2,3,4,2,40.40510328154217,-3.7421293657424575
43642,2,8,14.0,1,2.0,4.0,1.0,3,1,Serious,440060.27,4472996.31,2,1,5,5,40.40542311697192,-3.706394245745496
16077,2,19,14.0,6,1.0,5.0,1.0,3,2,Serious,441232.259,4473014.138,2,2,1,32,40.40566727323967,-3.69258487947674
16078,2,19,14.0,6,1.0,5.0,3.0,3,1,Serious,441232.259,4473014.138,2,2,1,32,40.40566727323967,-3.69258487947674
3130,1,12,1.0,2,1.0,4.0,1.0,3,1,Slight,437562.888,4473035.193,2,2,3,7,40.40558984786093,-3.735827640218544
3131,1,12,1.0,2,1.0,5.0,1.0,3,1,Slight,437562.888,4473035.193,2,2,3,7,40.40558984786093,-3.735827640218544
23906,2,3,1.0,5,1.0,4.0,1.0,3,1,Serious,437562.99,4473032.63,2,2,7,47,40.40556676691682,-3.7358261867950255
23907,2,3,1.0,5,1.0,5.0,1.0,3,2,Slight,437562.99,4473032.63,2,2,7,47,40.40556676691682,-3.7358261867950255
48633,1,3,1.0,2,1.0,5.0,1.0,2,2,Slight,437733.51,4473052.53,2,3,2,19,40.40575880528841,-3.7338186955733694
48634,1,3,1.0,2,1.0,5.0,2.0,3,1,Slight,437733.51,4473052.53,2,3,2,19,40.40575880528841,-3.7338186955733694
48635,1,3,1.0,2,1.0,5.0,2.0,1,1,Slight,437733.51,4473052.53,2,3,2,19,40.40575880528841,-3.7338186955733694
51144,2,3,1.0,2,1.0,3.0,1.0,3,1,Serious,437733.51,4473052.53,2,2,7,24,40.40575880528841,-3.7338186955733694
51145,2,3,1.0,2,1.0,5.0,1.0,3,1,Slight,437733.51,4473052.53,2,2,7,24,40.40575880528841,-3.7338186955733694
53262,2,8,14.0,2,1.0,6.0,1.0,3,1,Slight,440760.7,4473064.94,2,4,3,30,40.40609150311152,-3.6981465978656782
53263,2,8,14.0,2,1.0,4.0,1.0,3,1,Serious,440760.7,4473064.94,2,4,3,30,40.40609150311152,-3.6981465978656782
53264,2,8,14.0,2,1.0,4.0,2.0,3,1,Slight,440760.7,4473064.94,2,4,3,30,40.40609150311152,-3.6981465978656782
53265,2,8,14.0,2,1.0,5.0,1.0,3,1,Slight,440760.7,4473064.94,2,4,3,30,40.40609150311152,-3.6981465978656782
3725,1,17,15.0,3,1.0,4.0,1.0,3,1,Serious,441615.694,4473084.208,2,2,6,8,40.40632547769733,-3.688072790034322
3726,1,17,15.0,3,1.0,4.0,2.0,3,2,Serious,441615.694,4473084.208,2,2,6,8,40.40632547769733,-3.688072790034322
11630,2,17,15.0,1,1.0,5.0,1.0,3,2,Slight,441623.449,4473083.108,2,2,2,23,40.40631611214238,-3.687981300882896
11631,2,17,15.0,1,1.0,5.0,1.0,5,1,Slight,441623.449,4473083.108,2,2,2,23,40.40631611214238,-3.687981300882896
7025,2,3,15.0,3,2.0,4.0,1.0,3,1,Fatal,441714.526,4473095.336,2,2,5,14,40.4064326496294,-3.686909130238056
7026,2,3,15.0,3,2.0,4.0,2.0,3,2,Serious,441714.526,4473095.336,2,2,5,14,40.4064326496294,-3.686909130238056
24492,1,17,15.0,6,1.0,6.0,1.0,3,1,Slight,442515.769,4473114.648,2,2,1,49,40.406662332488025,-3.677468652456075
24493,1,17,15.0,6,1.0,6.0,3.0,1,2,Serious,442515.769,4473114.648,2,2,1,49,40.406662332488025,-3.677468652456075
44503,1,18,14.0,4,1.0,4.0,1.0,3,1,Slight,441255.94,4473136.2,2,2,2,8,40.40676854119236,-3.692317082128869
44504,1,18,14.0,4,1.0,5.0,1.0,3,1,Slight,441255.94,4473136.2,2,2,2,8,40.40676854119236,-3.692317082128869
50258,2,19,14.0,2,1.0,4.0,1.0,3,1,Serious,441255.94,4473136.2,2,4,1,23,40.40676854119236,-3.692317082128869
50259,2,19,14.0,2,1.0,5.0,1.0,2,1,Slight,441255.94,4473136.2,2,4,1,23,40.40676854119236,-3.692317082128869
50260,2,19,14.0,2,1.0,5.0,2.0,3,1,Slight,441255.94,4473136.2,2,4,1,23,40.40676854119236,-3.692317082128869
50261,2,19,14.0,2,1.0,5.0,2.0,1,1,Slight,441255.94,4473136.2,2,4,1,23,40.40676854119236,-3.692317082128869
52490,1,19,14.0,4,1.0,5.0,1.0,3,1,Slight,441255.94,4473136.2,2,4,6,27,40.40676854119236,-3.692317082128869
52491,1,19,14.0,4,1.0,5.0,2.0,3,1,Slight,441255.94,4473136.2,2,4,6,27,40.40676854119236,-3.692317082128869
52492,1,19,14.0,4,1.0,5.0,2.0,3,2,Slight,441255.94,4473136.2,2,4,6,27,40.40676854119236,-3.692317082128869
54378,1,19,14.0,2,1.0,9.0,1.0,3,1,Slight,441255.94,4473136.2,2,2,5,34,40.40676854119236,-3.692317082128869
54379,1,19,14.0,2,1.0,5.0,1.0,3,1,Slight,441255.94,4473136.2,2,2,5,34,40.40676854119236,-3.692317082128869
10669,1,19,0.0,3,1.0,1.0,1.0,3,1,Serious,440429.04,4473149.002,2,1,6,21,40.40682510940604,-3.702062866105252
16177,1,19,14.0,3,1.0,15.0,1.0,3,2,Slight,441210.373,4473161.45,2,1,3,32,40.40699278945175,-3.6928563987758034
27925,2,19,14.0,1,1.0,5.0,1.0,3,1,Slight,441219.025,4473167.158,2,4,1,4,40.4070448209502,-3.6927549662067616
27926,2,19,14.0,1,1.0,5.0,1.0,3,1,Slight,441219.025,4473167.158,1,4,1,4,40.4070448209502,-3.6927549662067616
27927,2,19,14.0,1,1.0,5.0,1.0,3,1,Serious,441219.025,4473167.158,2,4,1,4,40.4070448209502,-3.6927549662067616
27928,2,19,14.0,1,1.0,5.0,2.0,3,2,Slight,441219.025,4473167.158,2,4,1,4,40.4070448209502,-3.6927549662067616
6274,2,9,14.0,6,1.0,5.0,1.0,3,2,Slight,441152.403,4473182.835,2,3,3,13,40.40718134063544,-3.693541525618804
6275,2,9,14.0,6,1.0,5.0,1.0,3,1,Slight,441152.403,4473182.835,1,3,3,13,40.40718134063544,-3.693541525618804
6276,2,9,14.0,6,1.0,5.0,3.0,4,1,Serious,441152.403,4473182.835,2,3,3,13,40.40718134063544,-3.693541525618804
34691,1,13,0.0,3,1.0,3.0,1.0,3,1,Serious,440286.031,4473196.386,2,2,1,30,40.40724172215406,-3.703752598712804
34692,1,13,0.0,3,1.0,3.0,2.0,3,2,Slight,440286.031,4473196.386,2,2,1,30,40.40724172215406,-3.703752598712804
49907,1,19,0.0,6,1.0,5.0,1.0,3,1,Slight,440291.35,4473189.66,2,3,2,22,40.40718151258223,-3.703689285631754
49908,1,19,0.0,6,1.0,5.0,3.0,1,2,Slight,440291.35,4473189.66,2,3,2,22,40.40718151258223,-3.703689285631754
22537,1,19,15.0,6,2.0,5.0,1.0,3,1,Slight,442114.458,4473215.129,2,2,4,45,40.40753971158958,-3.682207044003126
22538,1,19,15.0,6,2.0,5.0,3.0,4,2,Serious,442114.458,4473215.129,2,2,4,45,40.40753971158958,-3.682207044003126
49388,2,19,0.0,6,1.0,5.0,1.0,3,1,Slight,439899.4,4473256.36,1,2,7,20,40.407754174365074,-3.708314531913572
49389,2,19,0.0,6,1.0,5.0,3.0,4,1,Serious,439899.4,4473256.36,2,2,7,20,40.407754174365074,-3.708314531913572
13539,2,3,15.0,6,1.0,5.0,1.0,3,1,Slight,441435.814,4473279.765,2,2,6,26,40.40807452105495,-3.690210568761765
13540,2,3,15.0,6,1.0,5.0,3.0,3,1,Serious,441435.814,4473279.765,2,2,6,26,40.40807452105495,-3.690210568761765
51553,2,17,0.0,2,1.0,4.0,1.0,3,1,Fatal,439504.38,4473308.41,2,3,6,25,40.4081944532668,-3.712974640347208
51554,2,17,0.0,2,1.0,5.0,1.0,3,2,Slight,439504.38,4473308.41,2,3,6,25,40.4081944532668,-3.712974640347208
51555,2,17,0.0,2,1.0,5.0,2.0,3,2,Slight,439504.38,4473308.41,2,3,6,25,40.4081944532668,-3.712974640347208
34783,1,19,1.0,6,1.0,12.0,1.0,3,1,Slight,437269.701,4473318.519,2,2,3,30,40.40812012723095,-3.7393105337455887
34784,1,19,1.0,6,1.0,12.0,3.0,4,2,Serious,437269.701,4473318.519,2,2,3,30,40.40812012723095,-3.7393105337455887
23276,1,3,1.0,0,1.0,2.0,1.0,3,1,Serious,437638.149,4473340.086,2,4,7,46,40.40834209428213,-3.7349706279132526
23277,1,3,1.0,0,1.0,5.0,1.0,3,2,Slight,437638.149,4473340.086,2,4,7,46,40.40834209428213,-3.7349706279132526
23278,1,3,1.0,0,1.0,5.0,2.0,2,2,Slight,437638.149,4473340.086,2,4,7,46,40.40834209428213,-3.7349706279132526
44066,1,17,3.0,2,1.0,4.0,1.0,4,1,Serious,445408.39,4473361.96,2,2,7,6,40.409084974095926,-3.6434015672489912
44067,1,17,3.0,2,1.0,3.0,1.0,3,1,Slight,445408.39,4473361.96,2,2,7,6,40.409084974095926,-3.6434015672489912
5762,2,3,1.0,2,1.0,4.0,1.0,3,1,Fatal,438586.95,4473377.907,2,2,4,12,40.40875333839872,-3.723792959844208
5763,2,3,1.0,2,1.0,4.0,1.0,3,1,Slight,438586.95,4473377.907,2,2,4,12,40.40875333839872,-3.723792959844208
48313,2,3,14.0,3,1.0,1.0,1.0,3,1,Serious,439008.56,4473380.64,2,1,3,18,40.4088089552418,-3.718824644323591
39581,2,17,18.0,4,1.0,3.0,1.0,3,1,Serious,447573.084,4473458.155,2,2,6,45,40.41009070653726,-3.6178984460640793
39582,2,17,18.0,4,1.0,5.0,1.0,3,1,Slight,447573.084,4473458.155,2,2,6,45,40.41009070653726,-3.6178984460640793
32253,2,3,1.0,8,3.0,5.0,1.0,3,1,Slight,437236.856,4473462.927,2,8,1,22,40.40941853838928,-3.73971184235492
32254,2,3,1.0,8,3.0,5.0,1.0,3,2,Slight,437236.856,4473462.927,2,8,1,22,40.40941853838928,-3.73971184235492
32255,2,3,1.0,8,3.0,5.0,2.0,2,1,Slight,437236.856,4473462.927,2,8,1,22,40.40941853838928,-3.73971184235492
