,c_m,city,model,precision,recall,f1-score,support
Serious,madrid_1D-convolution,madrid,1D-convolution,0.9832663989290495,0.1382718373493976,0.2424492490509985,10624.0
Slight,madrid_1D-convolution,madrid,1D-convolution,0.0210647261585599,0.4867256637168141,0.040381791483113,226.0
Fatal,madrid_1D-convolution,madrid,1D-convolution,0.0024078979051288,0.5263157894736842,0.0047938638542665,19.0
accuracy,madrid_1D-convolution,madrid,1D-convolution,0.1461956021713129,0.1461956021713129,0.1461956021713129,0.1461956021713129
macro avg,madrid_1D-convolution,madrid,1D-convolution,0.3355796743309127,0.3837710968466319,0.0958749681294593,10869.0
weighted avg,madrid_1D-convolution,madrid,1D-convolution,0.9615446315571125,0.1461956021713129,0.2378322007734127,10869.0
Serious,madrid_2D-convolution,madrid,2D-convolution,0.9831548550114306,0.7691076807228916,0.8630578294164246,10624.0
Slight,madrid_2D-convolution,madrid,2D-convolution,0.1641791044776119,0.0486725663716814,0.0750853242320819,226.0
Fatal,madrid_2D-convolution,madrid,2D-convolution,0.0032115616218386,0.4210526315789473,0.0063745019920318,19.0
accuracy,madrid_2D-convolution,madrid,2D-convolution,0.7535191829975159,0.7535191829975159,0.7535191829975159,0.7535191829975159
macro avg,madrid_2D-convolution,madrid,2D-convolution,0.3835151737036271,0.4129442928911734,0.3148392185468461,10869.0
weighted avg,madrid_2D-convolution,madrid,2D-convolution,0.9644127957424043,0.7535191829975159,0.8451758927715883,10869.0
