,c_m,city,model,precision,recall,f1-score,support
Slight,leeds_1D-convolution,leeds,1D-convolution,0.878021978021978,0.2243751755124965,0.3574144486692015,3561.0
Serious,leeds_1D-convolution,leeds,1D-convolution,0.1145510835913312,0.7161290322580646,0.197508896797153,465.0
Fatal,leeds_1D-convolution,leeds,1D-convolution,0.0204081632653061,0.1388888888888889,0.0355871886120996,36.0
accuracy,leeds_1D-convolution,leeds,1D-convolution,0.2799113737075332,0.2799113737075332,0.2799113737075332,0.2799113737075332
macro avg,leeds_1D-convolution,leeds,1D-convolution,0.3376604082928718,0.3597976988864833,0.196836844692818,4062.0
weighted avg,leeds_1D-convolution,leeds,1D-convolution,0.783022454821217,0.2799113737075332,0.3362569245474491,4062.0
Slight,leeds_2D-convolution,leeds,2D-convolution,0.8914285714285715,0.0438079191238416,0.0835117773019272,3561.0
Serious,leeds_2D-convolution,leeds,2D-convolution,0.0869565217391304,0.0129032258064516,0.0224719101123595,465.0
Fatal,leeds_2D-convolution,leeds,2D-convolution,0.0091671031953902,0.9722222222222222,0.0181629475869226,36.0
accuracy,leeds_2D-convolution,leeds,2D-convolution,0.0484982767109798,0.0484982767109798,0.0484982767109798,0.0484982767109798
macro avg,leeds_2D-convolution,leeds,2D-convolution,0.329184065454364,0.3429777890508385,0.0413822116670698,4062.0
weighted avg,leeds_2D-convolution,leeds,2D-convolution,0.7915169722257195,0.0484982767109798,0.0759450377369618,4062.0
Serious,madrid_1D-convolution,madrid,1D-convolution,0.9775736020549298,0.9325228536424464,0.9545169536487724,10611.0
Slight,madrid_1D-convolution,madrid,1D-convolution,0.0710526315789473,0.2037735849056604,0.1053658536585365,265.0
Fatal,madrid_1D-convolution,madrid,1D-convolution,0.0,0.0,0.0,20.0
accuracy,madrid_1D-convolution,madrid,1D-convolution,0.9130873715124816,0.9130873715124816,0.9130873715124816,0.9130873715124816
macro avg,madrid_1D-convolution,madrid,1D-convolution,0.349542077877959,0.3787654795160356,0.3532942691024364,10896.0
weighted avg,madrid_1D-convolution,madrid,1D-convolution,0.9537318684630398,0.9130873715124816,0.9321128254760128,10896.0
Serious,madrid_2D-convolution,madrid,2D-convolution,0.9787966252220248,0.8309301668080294,0.8988225699576939,10611.0
Slight,madrid_2D-convolution,madrid,2D-convolution,0.0454302512025654,0.320754716981132,0.0795880149812734,265.0
Fatal,madrid_2D-convolution,madrid,2D-convolution,0.0,0.0,0.0,20.0
accuracy,madrid_2D-convolution,madrid,2D-convolution,0.8169970631424376,0.8169970631424376,0.8169970631424376,0.8169970631424376
macro avg,madrid_2D-convolution,madrid,2D-convolution,0.3414089588081967,0.3838949612630538,0.3261368616463224,10896.0
weighted avg,madrid_2D-convolution,madrid,2D-convolution,0.9542997436490076,0.8169970631424376,0.8772482666842077,10896.0
