,c_m,city,model,precision,recall,f1-score,support
Slight,leeds_1D-convolution,leeds,1D-convolution,0.8741349480968859,0.5686550365785031,0.6890555744971019,3554.0
Serious,leeds_1D-convolution,leeds,1D-convolution,0.0662251655629139,0.0622406639004149,0.0641711229946524,482.0
Fatal,leeds_1D-convolution,leeds,1D-convolution,0.0053970701619121,0.2692307692307692,0.0105820105820105,26.0
accuracy,leeds_1D-convolution,leeds,1D-convolution,0.5066469719350074,0.5066469719350074,0.5066469719350074,0.5066469719350074
macro avg,leeds_1D-convolution,leeds,1D-convolution,0.3152523946072373,0.3000421565698958,0.2546029026912549,4062.0
weighted avg,leeds_1D-convolution,leeds,1D-convolution,0.7727071539049399,0.5066469719350074,0.6105635463617073,4062.0
Slight,leeds_2D-convolution,leeds,2D-convolution,0.95,0.3314575126617895,0.4914476428869419,3554.0
Serious,leeds_2D-convolution,leeds,2D-convolution,0.1488977231658836,0.8547717842323651,0.2536164973838104,482.0
Fatal,leeds_2D-convolution,leeds,2D-convolution,0.0,0.0,0.0,26.0
accuracy,leeds_2D-convolution,leeds,2D-convolution,0.3914327917282127,0.3914327917282127,0.3914327917282127,0.3914327917282127
macro avg,leeds_2D-convolution,leeds,2D-convolution,0.3662992410552945,0.3954097656313848,0.2483547134235841,4062.0
weighted avg,leeds_2D-convolution,leeds,2D-convolution,0.8488598479975273,0.3914327917282127,0.4600807667550931,4062.0
Slight,leeds_KNN,leeds,KNN,0.8913911060433295,0.8798536859876196,0.8855848201642594,3554.0
Serious,leeds_KNN,leeds,KNN,0.2146892655367231,0.2365145228215767,0.2250740375123396,482.0
Fatal,leeds_KNN,leeds,KNN,0.0434782608695652,0.0384615384615384,0.0408163265306122,26.0
accuracy,leeds_KNN,leeds,KNN,0.7981290004923683,0.7981290004923683,0.7981290004923683,0.7981290004923683
macro avg,leeds_KNN,leeds,KNN,0.3831862108165393,0.3849432490902449,0.3838250614024037,4062.0
weighted avg,leeds_KNN,leeds,KNN,0.8056658423558105,0.7981290004923683,0.8018009260055445,4062.0
Slight,madrid_1D-convolution,madrid,1D-convolution,0.954922279792746,0.173442499529456,0.2935648295635553,10626.0
Serious,madrid_1D-convolution,madrid,1D-convolution,0.0191192796348834,0.6175298804780877,0.0370902129696099,251.0
Fatal,madrid_1D-convolution,madrid,1D-convolution,0.0011641443538998,0.0526315789473684,0.0022779043280182,19.0
accuracy,madrid_1D-convolution,madrid,1D-convolution,0.1834618208516887,0.1834618208516887,0.1834618208516887,0.1834618208516887
macro avg,madrid_1D-convolution,madrid,1D-convolution,0.3250685679271765,0.2812013196516373,0.1109776489537278,10896.0
weighted avg,madrid_1D-convolution,madrid,1D-convolution,0.9317020193657124,0.1834618208516887,0.2871487520723149,10896.0
Slight,madrid_2D-convolution,madrid,2D-convolution,0.98062792251169,0.1381517033690946,0.2421842778190217,10626.0
Serious,madrid_2D-convolution,madrid,2D-convolution,0.0220994475138121,0.701195219123506,0.0428484479610468,251.0
Fatal,madrid_2D-convolution,madrid,2D-convolution,0.0034843205574912,0.2631578947368421,0.0068775790921595,19.0
accuracy,madrid_2D-convolution,madrid,2D-convolution,0.1513399412628487,0.1513399412628487,0.1513399412628487,0.1513399412628487
macro avg,madrid_2D-convolution,madrid,2D-convolution,0.3354038968609978,0.3675016057431475,0.0973034349574094,10896.0
weighted avg,madrid_2D-convolution,madrid,2D-convolution,0.956843379958313,0.1513399412628487,0.2371820641103064,10896.0
Slight,madrid_KNN,madrid,KNN,0.9805551830494836,0.6881234707321664,0.8087153680252172,10626.0
Serious,madrid_KNN,madrid,KNN,0.0326948480845442,0.3944223107569721,0.0603842634949679,251.0
Fatal,madrid_KNN,madrid,KNN,0.0048661800486618,0.1052631578947368,0.0093023255813953,19.0
accuracy,madrid_KNN,madrid,KNN,0.6803414096916299,0.6803414096916299,0.6803414096916299,0.6803414096916299
macro avg,madrid_KNN,madrid,KNN,0.3393720703942299,0.3959363131279583,0.2928006523671935,10896.0
weighted avg,madrid_KNN,madrid,KNN,0.9570189279895336,0.6803414096916299,0.7900828464536749,10896.0
