,c_m,city,model,precision,recall,f1-score,support
Slight,madrid_1D-convolution,madrid,1D-convolution,0.9808830223031406,0.6085278614457831,0.7510891664246296,10624.0
Serious,madrid_1D-convolution,madrid,1D-convolution,0.0589390962671905,0.3370786516853932,0.1003344481605351,267.0
Fatal,madrid_1D-convolution,madrid,1D-convolution,0.0003593244699964,0.1,0.0007160759040458,10.0
accuracy,madrid_1D-convolution,madrid,1D-convolution,0.6014127144298688,0.6014127144298688,0.6014127144298688,0.6014127144298688
macro avg,madrid_1D-convolution,madrid,1D-convolution,0.3467271476801092,0.3485355043770588,0.2840465634964035,10901.0
weighted avg,madrid_1D-convolution,madrid,1D-convolution,0.95740221639268,0.6014127144298688,0.7344617707103173,10901.0
Slight,madrid_2D-convolution,madrid,2D-convolution,0.9833742679010014,0.4899284638554217,0.6540177169064523,10624.0
Serious,madrid_2D-convolution,madrid,2D-convolution,0.0337587484561548,0.6142322097378277,0.064,267.0
Fatal,madrid_2D-convolution,madrid,2D-convolution,0.0013333333333333,0.1,0.0026315789473684,10.0
accuracy,madrid_2D-convolution,madrid,2D-convolution,0.4926153563893221,0.4926153563893221,0.4926153563893221,0.4926153563893221
macro avg,madrid_2D-convolution,madrid,2D-convolution,0.3394887832301632,0.4013868911977498,0.2402164319512736,10901.0
weighted avg,madrid_2D-convolution,madrid,2D-convolution,0.95921430523359,0.4926153563893221,0.6389687680216147,10901.0
Slight,madrid_KNN,madrid,KNN,0.982124874118832,0.734375,0.8403705299439898,10624.0
Serious,madrid_KNN,madrid,KNN,0.0490797546012269,0.3895131086142322,0.0871751886001676,267.0
Fatal,madrid_KNN,madrid,KNN,0.0011933174224343,0.1,0.0023584905660377,10.0
accuracy,madrid_KNN,madrid,KNN,0.7253462985047243,0.7253462985047243,0.7253462985047243,0.7253462985047243
macro avg,madrid_KNN,madrid,KNN,0.3441326487141644,0.4079627028714108,0.3099680697033983,10901.0
weighted avg,madrid_KNN,madrid,KNN,0.9583717906881224,0.7253462985047243,0.8211536437379006,10901.0
Slight,madrid_NB,madrid,NB,0.9791189931350116,0.3221950301204819,0.4848441926345609,10624.0
Serious,madrid_NB,madrid,NB,0.0264686022957461,0.7340823970037453,0.0510948905109489,267.0
Fatal,madrid_NB,madrid,NB,0.0,0.0,0.0,10.0
accuracy,madrid_NB,madrid,NB,0.3319878910191725,0.3319878910191725,0.3319878910191725,0.3319878910191725
macro avg,madrid_NB,madrid,NB,0.3351958651435858,0.3520924757080757,0.1786463610485033,10901.0
weighted avg,madrid_NB,madrid,NB,0.9548873772937644,0.3319878910191726,0.4737755286960828,10901.0
Slight,madrid_SVC,madrid,SVC,0.98075265728239,0.6426957831325302,0.7765267826680314,10624.0
Serious,madrid_SVC,madrid,SVC,0.0406559617355654,0.445692883895131,0.0745147150907952,267.0
Fatal,madrid_SVC,madrid,SVC,0.0,0.0,0.0,10.0
accuracy,madrid_SVC,madrid,SVC,0.6372809833960187,0.6372809833960187,0.6372809833960187,0.6372809833960187
macro avg,madrid_SVC,madrid,SVC,0.3404695396726518,0.3627962223425537,0.2836804992529422,10901.0
weighted avg,madrid_SVC,madrid,SVC,0.9568270225439416,0.6372809833960188,0.7586199401884605,10901.0
