,c_m,city,model,precision,recall,f1-score,support
Slight,madrid_1D-convolution,madrid,1D-convolution,0.9881019830028328,0.3285916156382477,0.4931778013432307,10615.0
Serious,madrid_1D-convolution,madrid,1D-convolution,0.0369492195218336,0.677536231884058,0.0700768221847479,276.0
Fatal,madrid_1D-convolution,madrid,1D-convolution,0.0012987012987012,0.3,0.0025862068965517,10.0
accuracy,madrid_1D-convolution,madrid,1D-convolution,0.3374002385102284,0.3374002385102284,0.3374002385102284,0.3374002385102284
macro avg,madrid_1D-convolution,madrid,1D-convolution,0.3421166346077893,0.4353759491741019,0.1886136101415101,10901.0
weighted avg,madrid_1D-convolution,madrid,1D-convolution,0.9631147161889811,0.3374002385102284,0.4820153587973901,10901.0
Slight,madrid_2D-convolution,madrid,2D-convolution,0.9864670313849696,0.3227508243052284,0.4863713798977853,10615.0
Serious,madrid_2D-convolution,madrid,2D-convolution,0.0281326252332424,0.7101449275362319,0.0541212204887477,276.0
Fatal,madrid_2D-convolution,madrid,2D-convolution,0.0021691973969631,0.1,0.0042462845010615,10.0
accuracy,madrid_2D-convolution,madrid,2D-convolution,0.3323548298321255,0.3323548298321255,0.3323548298321255,0.3323548298321255
macro avg,madrid_2D-convolution,madrid,2D-convolution,0.3389229513383917,0.3776319172804868,0.1815796282958649,10901.0
weighted avg,madrid_2D-convolution,madrid,2D-convolution,0.9613002325190164,0.3323548298321255,0.4749850580052194,10901.0
Slight,madrid_KNN,madrid,KNN,0.965204784342153,0.2508714083843617,0.3982353820846418,10615.0
Serious,madrid_KNN,madrid,KNN,0.0386178861788617,0.0688405797101449,0.0494791666666666,276.0
Fatal,madrid_KNN,madrid,KNN,0.0007843137254901,0.6,0.0015665796344647,10.0
accuracy,madrid_KNN,madrid,KNN,0.2465828823043757,0.2465828823043757,0.2465828823043757,0.2465828823043757
macro avg,madrid_KNN,madrid,KNN,0.3348689947488349,0.3065706626981688,0.149760376128591,10901.0
weighted avg,madrid_KNN,madrid,KNN,0.9408600280262888,0.2465828823043757,0.3890414179088907,10901.0
