,c_m,city,model,precision,recall,f1-score,support
Slight,leeds_1D-convolution,leeds,1D-convolution,0.8996468510888758,0.8606418918918919,0.8797122302158272,3552.0
Serious,leeds_1D-convolution,leeds,1D-convolution,0.2261904761904762,0.1987447698744769,0.2115812917594655,478.0
Fatal,leeds_1D-convolution,leeds,1D-convolution,0.0368852459016393,0.28125,0.0652173913043478,32.0
accuracy,leeds_1D-convolution,leeds,1D-convolution,0.7781880846873461,0.7781880846873461,0.7781880846873461,0.7781880846873461
macro avg,leeds_1D-convolution,leeds,1D-convolution,0.3875741910603305,0.4468788872554562,0.3855036377598801,4062.0
weighted avg,leeds_1D-convolution,leeds,1D-convolution,0.8136004408063976,0.7781880846873461,0.7946727365114185,4062.0
Slight,leeds_2D-convolution,leeds,2D-convolution,0.9455481972038264,0.361768018018018,0.5233150071268581,3552.0
Serious,leeds_2D-convolution,leeds,2D-convolution,0.1467537456780637,0.799163179916318,0.2479714378448555,478.0
Fatal,leeds_2D-convolution,leeds,2D-convolution,0.05,0.15625,0.0757575757575757,32.0
accuracy,leeds_2D-convolution,leeds,2D-convolution,0.4116198916789759,0.4116198916789759,0.4116198916789759,0.4116198916789759
macro avg,leeds_2D-convolution,leeds,2D-convolution,0.3807673142939634,0.4390603993114453,0.2823480069097631,4062.0
weighted avg,leeds_2D-convolution,leeds,2D-convolution,0.8444942114480811,0.4116198916789759,0.4873878618977555,4062.0
Slight,madrid_1D-convolution,madrid,1D-convolution,0.9816457255481644,0.7492478375329071,0.8498453663218515,10636.0
Serious,madrid_1D-convolution,madrid,1D-convolution,0.0384097035040431,0.2270916334661354,0.0657060518731988,251.0
Fatal,madrid_1D-convolution,madrid,1D-convolution,0.0030911901081916,0.4444444444444444,0.0061396776669224,9.0
accuracy,madrid_1D-convolution,madrid,1D-convolution,0.7369676945668135,0.7369676945668135,0.7369676945668135,0.7369676945668135
macro avg,madrid_1D-convolution,madrid,1D-convolution,0.3410488730534664,0.4735946384811623,0.3072303652873243,10896.0
weighted avg,madrid_1D-convolution,madrid,1D-convolution,0.9591090852809074,0.7369676945668135,0.8310850580321573,10896.0
Slight,madrid_2D-convolution,madrid,2D-convolution,0.9846082807449592,0.6014479127491538,0.7467460456429114,10636.0
Serious,madrid_2D-convolution,madrid,2D-convolution,0.0388644812436634,0.4581673306772908,0.0716510903426791,251.0
Fatal,madrid_2D-convolution,madrid,2D-convolution,0.0020833333333333,0.3333333333333333,0.0041407867494824,9.0
accuracy,madrid_2D-convolution,madrid,2D-convolution,0.5979258443465492,0.5979258443465492,0.5979258443465492,0.5979258443465492
macro avg,madrid_2D-convolution,madrid,2D-convolution,0.3418520317739853,0.4643161922532592,0.2741793075783576,10896.0
weighted avg,madrid_2D-convolution,madrid,2D-convolution,0.9620105918498114,0.5979258443465492,0.7305811887128086,10896.0
