,c_m,city,model,precision,recall,f1-score,support
Slight,leeds_1D-convolution,leeds,1D-convolution,0.9054373522458627,0.2139067299636972,0.3460582787440704,3581.0
Serious,leeds_1D-convolution,leeds,1D-convolution,0.1158376963350785,0.7814569536423841,0.2017668851524651,453.0
Fatal,leeds_1D-convolution,leeds,1D-convolution,0.025,0.1428571428571428,0.0425531914893617,28.0
accuracy,leeds_1D-convolution,leeds,1D-convolution,0.2767109798129,0.2767109798129,0.2767109798129,0.2767109798129
macro avg,leeds_1D-convolution,leeds,1D-convolution,0.3487583495269804,0.3794069421544081,0.1967927851286324,4062.0
weighted avg,leeds_1D-convolution,leeds,1D-convolution,0.8113110868617001,0.2767109798129,0.3278745899848068,4062.0
Slight,leeds_2D-convolution,leeds,2D-convolution,0.8921434437448672,0.910080982965652,0.9010229471938072,3581.0
Serious,leeds_2D-convolution,leeds,2D-convolution,0.1990049751243781,0.0883002207505518,0.1223241590214067,453.0
Fatal,leeds_2D-convolution,leeds,2D-convolution,0.0048076923076923,0.0357142857142857,0.0084745762711864,28.0
accuracy,leeds_2D-convolution,leeds,2D-convolution,0.8124076809453471,0.8124076809453471,0.8124076809453471,0.8124076809453471
macro avg,leeds_2D-convolution,leeds,2D-convolution,0.3653187037256458,0.3446984964768299,0.3439405608288001,4062.0
weighted avg,leeds_2D-convolution,leeds,2D-convolution,0.8087271150089435,0.8124076809453471,0.8080288788954489,4062.0
Slight,madrid_1D-convolution,madrid,1D-convolution,0.991130820399113,0.1686315193813072,0.2882243894575643,10603.0
Serious,madrid_1D-convolution,madrid,1D-convolution,0.0284243509400179,0.9136690647482014,0.0551334925113957,278.0
Fatal,madrid_1D-convolution,madrid,1D-convolution,0.0,0.0,0.0,15.0
accuracy,madrid_1D-convolution,madrid,1D-convolution,0.1874082232011747,0.1874082232011747,0.1874082232011747,0.1874082232011747
macro avg,madrid_1D-convolution,madrid,1D-convolution,0.3398517237797103,0.3607668613765029,0.1144526273229866,10896.0
weighted avg,madrid_1D-convolution,madrid,1D-convolution,0.9652039333932746,0.1874082232011747,0.281880535273194,10896.0
Slight,madrid_2D-convolution,madrid,2D-convolution,0.9794227316668968,0.668867301707064,0.7948890383322125,10603.0
Serious,madrid_2D-convolution,madrid,2D-convolution,0.0490496627835683,0.2877697841726618,0.0838135149292823,278.0
Fatal,madrid_2D-convolution,madrid,2D-convolution,0.0014822134387351,0.2,0.0029426189308484,15.0
accuracy,madrid_2D-convolution,madrid,2D-convolution,0.6584985315712188,0.6584985315712188,0.6584985315712188,0.6584985315712188
macro avg,madrid_2D-convolution,madrid,2D-convolution,0.3433182026297334,0.3855456952932419,0.2938817240641144,10896.0
weighted avg,madrid_2D-convolution,madrid,2D-convolution,0.9543389558846844,0.6584985315712187,0.7756564583214713,10896.0
