,c_m,city,model,precision,recall,f1-score,support
Slight,leeds_1D-convolution,leeds,1D-convolution,0.8690095846645367,0.2281879194630872,0.3614617940199335,3576.0
Serious,leeds_1D-convolution,leeds,1D-convolution,0.1103042876901798,0.6860215053763441,0.1900506404527852,465.0
Fatal,leeds_1D-convolution,leeds,1D-convolution,0.0043290043290043,0.0476190476190476,0.0079365079365079,21.0
accuracy,leeds_1D-convolution,leeds,1D-convolution,0.2796651895617922,0.2796651895617922,0.2796651895617922,0.2796651895617922
macro avg,leeds_1D-convolution,leeds,1D-convolution,0.3278809588945736,0.3206094908194929,0.1864829808030755,4062.0
weighted avg,leeds_1D-convolution,leeds,1D-convolution,0.7776860358511143,0.2796651895617922,0.3400117158770295,4062.0
Slight,leeds_2D-convolution,leeds,2D-convolution,0.8801877470355731,0.9963646532438478,0.9346799580272822,3576.0
Serious,leeds_2D-convolution,leeds,2D-convolution,0.0,0.0,0.0,465.0
Fatal,leeds_2D-convolution,leeds,2D-convolution,0.0,0.0,0.0,21.0
accuracy,leeds_2D-convolution,leeds,2D-convolution,0.8771541112752339,0.8771541112752339,0.8771541112752339,0.8771541112752339
macro avg,leeds_2D-convolution,leeds,2D-convolution,0.2933959156785243,0.3321215510812826,0.311559986009094,4062.0
weighted avg,leeds_2D-convolution,leeds,2D-convolution,0.7748772484980821,0.8771541112752339,0.8228497119413001,4062.0
Slight,madrid_1D-convolution,madrid,1D-convolution,0.9784333168071392,0.742615239887112,0.8443683816450956,10630.0
Serious,madrid_1D-convolution,madrid,1D-convolution,0.0339786645594626,0.344,0.0618482560230133,250.0
Fatal,madrid_1D-convolution,madrid,1D-convolution,0.0,0.0,0.0,16.0
accuracy,madrid_1D-convolution,madrid,1D-convolution,0.7323788546255506,0.7323788546255506,0.7323788546255506,0.7323788546255506
macro avg,madrid_1D-convolution,madrid,1D-convolution,0.337470660455534,0.3622050799623706,0.3020722125560363,10896.0
weighted avg,madrid_1D-convolution,madrid,1D-convolution,0.9553268010095224,0.7323788546255506,0.825174188775066,10896.0
Slight,madrid_2D-convolution,madrid,2D-convolution,0.9808883755119184,0.8787394167450612,0.9270083858482608,10630.0
Serious,madrid_2D-convolution,madrid,2D-convolution,0.0615128844555278,0.296,0.1018582243633861,250.0
Fatal,madrid_2D-convolution,madrid,2D-convolution,0.0058823529411764,0.0625,0.010752688172043,16.0
accuracy,madrid_2D-convolution,madrid,2D-convolution,0.8641703377386197,0.8641703377386197,0.8641703377386197,0.8641703377386197
macro avg,madrid_2D-convolution,madrid,2D-convolution,0.3494278709695409,0.4124131389150203,0.3465397661278966,10896.0
weighted avg,madrid_2D-convolution,madrid,2D-convolution,0.9583623137346398,0.8641703377386197,0.9067305195180444,10896.0
