,c_m,city,model,precision,recall,f1-score,support
Serious,leeds_1D-convolution,leeds,1D-convolution,0.9334085778781038,0.6992671927846674,0.7995488237189816,3548.0
Slight,leeds_1D-convolution,leeds,1D-convolution,0.2421242124212421,0.554639175257732,0.3370927318295739,485.0
Fatal,leeds_1D-convolution,leeds,1D-convolution,0.030716723549488,0.3103448275862069,0.0559006211180124,29.0
accuracy,leeds_1D-convolution,leeds,1D-convolution,0.6792220580994583,0.6792220580994583,0.6792220580994583,0.6792220580994583
macro avg,leeds_1D-convolution,leeds,1D-convolution,0.4020831712829447,0.5214170652095355,0.397514058888856,4062.0
weighted avg,leeds_1D-convolution,leeds,1D-convolution,0.8444250768879247,0.6792220580994583,0.7390227275984029,4062.0
Serious,leeds_2D-convolution,leeds,2D-convolution,0.9205572289156626,0.689120631341601,0.7882011605415861,3548.0
Slight,leeds_2D-convolution,leeds,2D-convolution,0.2082262210796915,0.5010309278350515,0.2941888619854721,485.0
Fatal,leeds_2D-convolution,leeds,2D-convolution,0.0209205020920502,0.1724137931034483,0.0373134328358208,29.0
accuracy,leeds_2D-convolution,leeds,2D-convolution,0.6629739044805515,0.6629739044805515,0.6629739044805515,0.6629739044805515
macro avg,leeds_2D-convolution,leeds,2D-convolution,0.3832346506958015,0.4541884507600335,0.3732344851209597,4062.0
weighted avg,leeds_2D-convolution,leeds,2D-convolution,0.8290825849278904,0.6629739044805515,0.723855589664387,4062.0
Slight,madrid_1D-convolution,madrid,1D-convolution,0.9870364787458548,0.3080831843417709,0.4695926563396442,10627.0
Serious,madrid_1D-convolution,madrid,1D-convolution,0.028095091077493,0.3699186991869919,0.0522238163558106,246.0
Fatal,madrid_1D-convolution,madrid,1D-convolution,0.0039170506912442,0.7391304347826086,0.0077928031171212,23.0
accuracy,madrid_1D-convolution,madrid,1D-convolution,0.3103891336270191,0.3103891336270191,0.3103891336270191,0.3103891336270191
macro avg,madrid_1D-convolution,madrid,1D-convolution,0.339682873504864,0.4723774394371238,0.1765364252708587,10896.0
weighted avg,madrid_1D-convolution,madrid,1D-convolution,0.963311136582522,0.3103891336270191,0.4591948836469001,10896.0
Slight,madrid_2D-convolution,madrid,2D-convolution,0.9790533503066776,0.7960854427401901,0.8781399211127259,10627.0
Serious,madrid_2D-convolution,madrid,2D-convolution,0.0051020408163265,0.0040650406504065,0.004524886877828,246.0
Fatal,madrid_2D-convolution,madrid,2D-convolution,0.0058280718795531,0.5217391304347826,0.0115273775216138,23.0
accuracy,madrid_2D-convolution,madrid,2D-convolution,0.7776248164464024,0.7776248164464024,0.7776248164464024,0.7776248164464024
macro avg,madrid_2D-convolution,madrid,2D-convolution,0.329994487667519,0.4406298712751264,0.2980640618373892,10896.0
weighted avg,madrid_2D-convolution,madrid,2D-convolution,0.9550100129775244,0.7776248164464024,0.8565869303891227,10896.0
