,c_m,city,model,precision,recall,f1-score,support
Slight,leeds_1D-convolution,leeds,1D-convolution,0.946594427244582,0.3452851496329757,0.5059991725279271,3542.0
Serious,leeds_1D-convolution,leeds,1D-convolution,0.1530807500956754,0.823045267489712,0.2581477896095515,486.0
Fatal,leeds_1D-convolution,leeds,1D-convolution,0.0063694267515923,0.0294117647058823,0.0104712041884816,34.0
accuracy,leeds_1D-convolution,leeds,1D-convolution,0.3998030526834072,0.3998030526834072,0.3998030526834072,0.3998030526834072
macro avg,leeds_1D-convolution,leeds,1D-convolution,0.3686815346972833,0.3992473939428566,0.2582060554419867,4062.0
weighted avg,leeds_1D-convolution,leeds,1D-convolution,0.8437841620768987,0.3998030526834072,0.4721971727687268,4062.0
Slight,leeds_2D-convolution,leeds,2D-convolution,0.9422066549912436,0.4556747600225861,0.6142721217887727,3542.0
Serious,leeds_2D-convolution,leeds,2D-convolution,0.1658493089612126,0.7654320987654321,0.2726273360205203,486.0
Fatal,leeds_2D-convolution,leeds,2D-convolution,0.0188679245283018,0.0588235294117647,0.0285714285714285,34.0
accuracy,leeds_2D-convolution,leeds,2D-convolution,0.4894140817331364,0.4894140817331364,0.4894140817331364,0.4894140817331364
macro avg,leeds_2D-convolution,leeds,2D-convolution,0.3756412961602526,0.426643462733261,0.3051569621269072,4062.0
weighted avg,leeds_2D-convolution,leeds,2D-convolution,0.8415904100364588,0.4894140817331364,0.5684933946955278,4062.0
Slight,madrid_1D-convolution,madrid,1D-convolution,0.979639621296956,0.9066327491991708,0.9417233449136372,10614.0
Serious,madrid_1D-convolution,madrid,1D-convolution,0.0830564784053156,0.2777777777777778,0.1278772378516624,270.0
Fatal,madrid_1D-convolution,madrid,1D-convolution,0.0,0.0,0.0,12.0
accuracy,madrid_1D-convolution,madrid,1D-convolution,0.8900513950073421,0.8900513950073421,0.8900513950073421,0.8900513950073421
macro avg,madrid_1D-convolution,madrid,1D-convolution,0.3542320332340906,0.3948035089923162,0.3565335275884331,10896.0
weighted avg,madrid_1D-convolution,madrid,1D-convolution,0.9563436297370896,0.8900513950073421,0.9205193132464474,10896.0
Slight,madrid_2D-convolution,madrid,2D-convolution,0.980040155899374,0.7817976257772753,0.8697657355484513,10614.0
Serious,madrid_2D-convolution,madrid,2D-convolution,0.0765456329735034,0.2888888888888888,0.1210240496508921,270.0
Fatal,madrid_2D-convolution,madrid,2D-convolution,0.001418439716312,0.1666666666666666,0.0028129395218002,12.0
accuracy,madrid_2D-convolution,madrid,2D-convolution,0.768906020558003,0.768906020558003,0.768906020558003,0.768906020558003
macro avg,madrid_2D-convolution,madrid,2D-convolution,0.3526680761963964,0.412451060444277,0.3312009082403812,10896.0
weighted avg,madrid_2D-convolution,madrid,2D-convolution,0.95657402320993,0.768906020558003,0.8502573206489781,10896.0
