,c_m,city,model,precision,recall,f1-score,support
Slight,leeds_1D-convolution,leeds,1D-convolution,0.93598233995585,0.5936712405488659,0.726525017135024,3571.0
Serious,leeds_1D-convolution,leeds,1D-convolution,0.1822402785838653,0.6752688172043011,0.2870201096892139,465.0
Fatal,leeds_1D-convolution,leeds,1D-convolution,0.027027027027027,0.0769230769230769,0.04,26.0
accuracy,leeds_1D-convolution,leeds,1D-convolution,0.5997045790251108,0.5997045790251108,0.5997045790251108,0.5997045790251108
macro avg,leeds_1D-convolution,leeds,1D-convolution,0.3817498818555807,0.4486210448920812,0.3511817089414126,4062.0
weighted avg,leeds_1D-convolution,leeds,1D-convolution,0.8438792142359773,0.5997045790251108,0.6718181160006537,4062.0
Slight,leeds_2D-convolution,leeds,2D-convolution,0.9043478260869564,0.8445813497619714,0.8734433825658848,3571.0
Serious,leeds_2D-convolution,leeds,2D-convolution,0.2290679304897314,0.3118279569892473,0.2641165755919854,465.0
Fatal,leeds_2D-convolution,leeds,2D-convolution,0.0212765957446808,0.0769230769230769,0.0333333333333333,26.0
accuracy,leeds_2D-convolution,leeds,2D-convolution,0.7786804529788282,0.7786804529788282,0.7786804529788282,0.7786804529788282
macro avg,leeds_2D-convolution,leeds,2D-convolution,0.3848974507737896,0.4111107945580985,0.3902977638304012,4062.0
weighted avg,leeds_2D-convolution,leeds,2D-convolution,0.8213923845700661,0.7786804529788282,0.7983129476759514,4062.0
Slight,madrid_1D-convolution,madrid,1D-convolution,0.9818511796733213,0.5602523065336095,0.713420847569382,10622.0
Serious,madrid_1D-convolution,madrid,1D-convolution,0.0366748166259168,0.3585657370517928,0.066543438077634,251.0
Fatal,madrid_1D-convolution,madrid,1D-convolution,0.0037799244015119,0.391304347826087,0.0074875207986688,23.0
accuracy,madrid_1D-convolution,madrid,1D-convolution,0.5552496328928047,0.5552496328928047,0.5552496328928047,0.5552496328928047
macro avg,madrid_1D-convolution,madrid,1D-convolution,0.3407686402335834,0.4367074638038297,0.2624839354818949,10896.0
weighted avg,madrid_1D-convolution,madrid,1D-convolution,0.9580135414578156,0.5552496328928047,0.6970292638415777,10896.0
Slight,madrid_2D-convolution,madrid,2D-convolution,0.9858060155457924,0.274618715872717,0.4295707238053163,10622.0
Serious,madrid_2D-convolution,madrid,2D-convolution,0.027059773828756,0.8007968127490039,0.0523505664800104,251.0
Fatal,madrid_2D-convolution,madrid,2D-convolution,0.0019646365422396,0.0434782608695652,0.0037593984962406,23.0
accuracy,madrid_2D-convolution,madrid,2D-convolution,0.2862518355359765,0.2862518355359765,0.2862518355359765,0.2862518355359765
macro avg,madrid_2D-convolution,madrid,2D-convolution,0.3382768086389294,0.3729645964970954,0.1618935629271891,10896.0
weighted avg,madrid_2D-convolution,madrid,2D-convolution,0.9616436019639224,0.2862518355359765,0.419982258316076,10896.0
