,c_m,city,model,precision,recall,f1-score,support
Slight,leeds_1D-convolution,leeds,1D-convolution,0.9033505154639176,0.1964686098654708,0.322744014732965,3568.0
Serious,leeds_1D-convolution,leeds,1D-convolution,0.1236470974089865,0.8090128755364807,0.2145092460881934,466.0
Fatal,leeds_1D-convolution,leeds,1D-convolution,0.0084388185654008,0.0714285714285714,0.0150943396226415,28.0
accuracy,leeds_1D-convolution,leeds,1D-convolution,0.2658788774002954,0.2658788774002954,0.2658788774002954,0.2658788774002954
macro avg,leeds_1D-convolution,leeds,1D-convolution,0.3451454771461016,0.3589700189435076,0.1841158668146,4062.0
weighted avg,leeds_1D-convolution,leeds,1D-convolution,0.8077327605828845,0.2658788774002954,0.3082064487330752,4062.0
Slight,leeds_2D-convolution,leeds,2D-convolution,0.8682411435674332,0.7830717488789237,0.8234600648393752,3568.0
Serious,leeds_2D-convolution,leeds,2D-convolution,0.1007067137809187,0.1223175965665236,0.1104651162790697,466.0
Fatal,leeds_2D-convolution,leeds,2D-convolution,0.0,0.0,0.0,28.0
accuracy,leeds_2D-convolution,leeds,2D-convolution,0.7018709995076317,0.7018709995076317,0.7018709995076317,0.7018709995076317
macro avg,leeds_2D-convolution,leeds,2D-convolution,0.3229826191161173,0.3017964484818158,0.3113083937061483,4062.0
weighted avg,leeds_2D-convolution,leeds,2D-convolution,0.7742032813566001,0.7018709995076317,0.7359877537008708,4062.0
Slight,madrid_1D-convolution,madrid,1D-convolution,0.9770158251695554,0.4873602105065313,0.6503229042573202,10641.0
Serious,madrid_1D-convolution,madrid,1D-convolution,0.0244633050424363,0.4152542372881356,0.0462046204620462,236.0
Fatal,madrid_1D-convolution,madrid,1D-convolution,0.0012642225031605,0.1052631578947368,0.0024984384759525,19.0
accuracy,madrid_1D-convolution,madrid,1D-convolution,0.4851321585903084,0.4851321585903084,0.4851321585903084,0.4851321585903084
macro avg,madrid_1D-convolution,madrid,1D-convolution,0.3342477842383841,0.3359592018964679,0.2330086543984396,10896.0
weighted avg,madrid_1D-convolution,madrid,1D-convolution,0.9546827051988632,0.4851321585903084,0.6361084604407333,10896.0
Slight,madrid_2D-convolution,madrid,2D-convolution,0.966818477553676,0.279297058547129,0.4333940940576011,10641.0
Serious,madrid_2D-convolution,madrid,2D-convolution,0.0169276343630977,0.3389830508474576,0.0322450624748085,236.0
Fatal,madrid_2D-convolution,madrid,2D-convolution,0.0003229974160206,0.0526315789473684,0.0006420545746388,19.0
accuracy,madrid_2D-convolution,madrid,2D-convolution,0.2801945668135095,0.2801945668135095,0.2801945668135095,0.2801945668135095
macro avg,madrid_2D-convolution,madrid,2D-convolution,0.3280230364442648,0.2236372294473183,0.1554270703690161,10896.0
weighted avg,madrid_2D-convolution,madrid,2D-convolution,0.9445591481561364,0.2801945668135095,0.4239508616600502,10896.0
