,c_m,city,model,precision,recall,f1-score,support
Slight,leeds_1D-convolution,leeds,1D-convolution,0.943439962911451,0.5692307692307692,0.7100488485694347,3575.0
Serious,leeds_1D-convolution,leeds,1D-convolution,0.1841661987647389,0.7161572052401747,0.2929879410451094,458.0
Fatal,leeds_1D-convolution,leeds,1D-convolution,0.0403225806451612,0.1724137931034483,0.065359477124183,29.0
accuracy,leeds_1D-convolution,leeds,1D-convolution,0.5829640571147218,0.5829640571147218,0.5829640571147218,0.5829640571147218
macro avg,leeds_1D-convolution,leeds,1D-convolution,0.3893095807737837,0.4859339225247974,0.3561320889129091,4062.0
weighted avg,leeds_1D-convolution,leeds,1D-convolution,0.8513824079964052,0.5829640571147218,0.658421599081977,4062.0
Slight,leeds_2D-convolution,leeds,2D-convolution,0.9556803995006242,0.4282517482517483,0.5914622368166892,3575.0
Serious,leeds_2D-convolution,leeds,2D-convolution,0.1596119929453262,0.7903930131004366,0.2655906089508437,458.0
Fatal,leeds_2D-convolution,leeds,2D-convolution,0.0208333333333333,0.1379310344827586,0.0361990950226244,29.0
accuracy,leeds_2D-convolution,leeds,2D-convolution,0.4670113244707041,0.4670113244707041,0.4670113244707041,0.4670113244707041
macro avg,leeds_2D-convolution,leeds,2D-convolution,0.3787085752597612,0.4521919319449812,0.2977506469300524,4062.0
weighted avg,leeds_2D-convolution,leeds,2D-convolution,0.8592476335919148,0.4670113244707041,0.5507552361582487,4062.0
Slight,madrid_1D-convolution,madrid,1D-convolution,0.9491525423728814,0.0052775421732164,0.0104967197750702,10611.0
Serious,madrid_1D-convolution,madrid,1D-convolution,0.0213790673088218,0.6842105263157895,0.0414625811595853,266.0
Fatal,madrid_1D-convolution,madrid,1D-convolution,0.0017211703958691,0.2105263157894736,0.0034144259496372,19.0
accuracy,madrid_1D-convolution,madrid,1D-convolution,0.0222099853157121,0.0222099853157121,0.0222099853157121,0.0222099853157121
macro avg,madrid_1D-convolution,madrid,1D-convolution,0.3240842600258574,0.3000047947594932,0.0184579089614309,10896.0
weighted avg,madrid_1D-convolution,madrid,1D-convolution,0.924851061055462,0.0222099853157121,0.0112403280299893,10896.0
Slight,madrid_2D-convolution,madrid,2D-convolution,0.9801783944499504,0.0932051644519837,0.170223752151463,10611.0
Serious,madrid_2D-convolution,madrid,2D-convolution,0.0226744829111823,0.7706766917293233,0.0440528634361233,266.0
Fatal,madrid_2D-convolution,madrid,2D-convolution,0.0035460992907801,0.1578947368421052,0.006936416184971,19.0
accuracy,madrid_2D-convolution,madrid,2D-convolution,0.1098568281938325,0.1098568281938325,0.1098568281938325,0.1098568281938325
macro avg,madrid_2D-convolution,madrid,2D-convolution,0.3354663255506376,0.3405921976744708,0.0737376772575191,10896.0
weighted avg,madrid_2D-convolution,madrid,2D-convolution,0.9551001956543066,0.1098568281938325,0.1668588553286249,10896.0
