,c_m,city,model,precision,recall,f1-score,support
Slight,leeds_1D-convolution,leeds,1D-convolution,0.9176809737347854,0.8061339335959482,0.8582983822648291,3554.0
Serious,leeds_1D-convolution,leeds,1D-convolution,0.2441717791411043,0.4145833333333333,0.3073359073359074,480.0
Fatal,leeds_1D-convolution,leeds,1D-convolution,0.04,0.1785714285714285,0.065359477124183,28.0
accuracy,leeds_1D-convolution,leeds,1D-convolution,0.7555391432791728,0.7555391432791728,0.7555391432791728,0.7555391432791728
macro avg,leeds_1D-convolution,leeds,1D-convolution,0.4006175842919632,0.4664295651669034,0.4103312555749732,4062.0
weighted avg,leeds_1D-convolution,leeds,1D-convolution,0.8320434846482416,0.7555391432791728,0.7877261820408457,4062.0
Slight,leeds_2D-convolution,leeds,2D-convolution,0.8881578947368421,0.0379853685987619,0.0728548300053966,3554.0
Serious,leeds_2D-convolution,leeds,2D-convolution,0.1163391933815925,0.9375,0.2069917203311868,480.0
Fatal,leeds_2D-convolution,leeds,2D-convolution,0.0238095238095238,0.0357142857142857,0.0285714285714285,28.0
accuracy,leeds_2D-convolution,leeds,2D-convolution,0.1442639094042343,0.1442639094042343,0.1442639094042343,0.1442639094042343
macro avg,leeds_2D-convolution,leeds,2D-convolution,0.3427688706426528,0.3370665514376825,0.1028059929693373,4062.0
weighted avg,leeds_2D-convolution,leeds,2D-convolution,0.7909952332310606,0.1442639094042343,0.088400317970987,4062.0
Slight,madrid_1D-convolution,madrid,1D-convolution,0.9872385678837292,0.2622657500706281,0.4144345238095238,10619.0
Serious,madrid_1D-convolution,madrid,1D-convolution,0.0311811023622047,0.7734375,0.0599455040871934,256.0
Fatal,madrid_1D-convolution,madrid,1D-convolution,0.001159420289855,0.0952380952380952,0.0022909507445589,21.0
accuracy,madrid_1D-convolution,madrid,1D-convolution,0.273953744493392,0.273953744493392,0.273953744493392,0.273953744493392
macro avg,madrid_1D-convolution,madrid,1D-convolution,0.3398596968452629,0.3769804484362411,0.1588903262137587,10896.0
weighted avg,madrid_1D-convolution,madrid,1D-convolution,0.9628756481633748,0.273953744493392,0.4053115241689877,10896.0
Slight,madrid_2D-convolution,madrid,2D-convolution,0.9865188735769922,0.3101045296167247,0.4718779107258007,10619.0
Serious,madrid_2D-convolution,madrid,2D-convolution,0.0301104048176647,0.703125,0.0577478344562078,256.0
Fatal,madrid_2D-convolution,madrid,2D-convolution,0.0012658227848101,0.0952380952380952,0.0024984384759525,21.0
accuracy,madrid_2D-convolution,madrid,2D-convolution,0.318924375917768,0.318924375917768,0.318924375917768,0.318924375917768
macro avg,madrid_2D-convolution,madrid,2D-convolution,0.3392983670598223,0.36948920828494,0.177374727885987,10896.0
weighted avg,madrid_2D-convolution,madrid,2D-convolution,0.9621492992314502,0.318924375917768,0.4612433413019513,10896.0
