,c_m,city,model,precision,recall,f1-score,support
Slight,leeds_1D-convolution,leeds,1D-convolution,0.8880829015544042,0.2388517279821627,0.376455084559631,3588.0
Serious,leeds_1D-convolution,leeds,1D-convolution,0.096938775510204,0.3816964285714285,0.1546112115732369,448.0
Fatal,leeds_1D-convolution,leeds,1D-convolution,0.0045011252813203,0.2307692307692307,0.0088300220750551,26.0
accuracy,leeds_1D-convolution,leeds,1D-convolution,0.2545544066962087,0.2545544066962087,0.2545544066962087,0.2545544066962087
macro avg,leeds_1D-convolution,leeds,1D-convolution,0.3298409341153095,0.2837724624409407,0.179965439402641,4062.0
weighted avg,leeds_1D-convolution,leeds,1D-convolution,0.7951716030189778,0.2545544066962087,0.3496347234758044,4062.0
Slight,leeds_2D-convolution,leeds,2D-convolution,0.9302172481895984,0.7876254180602007,0.8530033202535466,3588.0
Serious,leeds_2D-convolution,leeds,2D-convolution,0.2486938349007314,0.53125,0.3387900355871886,448.0
Fatal,leeds_2D-convolution,leeds,2D-convolution,0.0149253731343283,0.0384615384615384,0.021505376344086,26.0
accuracy,leeds_2D-convolution,leeds,2D-convolution,0.7545544066962088,0.7545544066962088,0.7545544066962088,0.7545544066962088
macro avg,leeds_2D-convolution,leeds,2D-convolution,0.3979454854082194,0.4524456521739131,0.4044329107282737,4062.0
weighted avg,leeds_2D-convolution,leeds,2D-convolution,0.849193102964377,0.7545544066962088,0.7909682394873786,4062.0
Slight,leeds_KNN,leeds,KNN,0.903062741599762,0.8464325529542921,0.8738311034383542,3588.0
Serious,leeds_KNN,leeds,KNN,0.1987767584097859,0.2901785714285714,0.2359346642468239,448.0
Fatal,leeds_KNN,leeds,KNN,0.0444444444444444,0.0769230769230769,0.056338028169014,26.0
accuracy,leeds_KNN,leeds,KNN,0.7801575578532742,0.7801575578532742,0.7801575578532742,0.7801575578532742
macro avg,leeds_KNN,leeds,KNN,0.3820946481513308,0.4045114004353135,0.3887012652847307,4062.0
weighted avg,leeds_KNN,leeds,KNN,0.8198908567659001,0.7801575578532742,0.7982445882451469,4062.0
Slight,madrid_1D-convolution,madrid,1D-convolution,0.974500203998368,0.4486288504883546,0.6144051446945338,10648.0
Serious,madrid_1D-convolution,madrid,1D-convolution,0.0185551707075705,0.3333333333333333,0.0351535036325287,225.0
Fatal,madrid_1D-convolution,madrid,1D-convolution,0.002561475409836,0.217391304347826,0.0050632911392405,23.0
accuracy,madrid_1D-convolution,madrid,1D-convolution,0.4457599118942731,0.4457599118942731,0.4457599118942731,0.4457599118942731
macro avg,madrid_1D-convolution,madrid,1D-convolution,0.3318722833719248,0.3331178293898379,0.2182073131554343,10896.0
weighted avg,madrid_1D-convolution,madrid,1D-convolution,0.9527085168427176,0.4457599118942731,0.6011574866667508,10896.0
Slight,madrid_2D-convolution,madrid,2D-convolution,0.983739837398374,0.5454545454545454,0.7017883035282744,10648.0
Serious,madrid_2D-convolution,madrid,2D-convolution,0.0277008310249307,0.5777777777777777,0.0528670191134607,225.0
Fatal,madrid_2D-convolution,madrid,2D-convolution,0.0066889632107023,0.0869565217391304,0.0124223602484472,23.0
accuracy,madrid_2D-convolution,madrid,2D-convolution,0.5451541850220264,0.5451541850220264,0.5451541850220264,0.5451541850220264
macro avg,madrid_2D-convolution,madrid,2D-convolution,0.3393765438780023,0.4033962816571512,0.2556925609633941,10896.0
weighted avg,madrid_2D-convolution,madrid,2D-convolution,0.961935418663027,0.5451541850220264,0.6869330625509645,10896.0
Slight,madrid_KNN,madrid,KNN,0.982800192895033,0.5741923365890308,0.7248799573181576,10648.0
Serious,madrid_KNN,madrid,KNN,0.0283668410906086,0.4577777777777778,0.0534232365145228,225.0
Fatal,madrid_KNN,madrid,KNN,0.0028735632183908,0.1304347826086956,0.0056232427366447,23.0
accuracy,madrid_KNN,madrid,KNN,0.5708516886930984,0.5708516886930984,0.5708516886930984,0.5708516886930984
macro avg,madrid_KNN,madrid,KNN,0.3380135324013441,0.3874682989918347,0.2613088121897751,10896.0
weighted avg,madrid_KNN,madrid,KNN,0.9610228602373092,0.5708516886930984,0.7094962691191677,10896.0
