,0,1,2,3,4
0,0.0,0.0,-0.1621,0.0,0.0
1,1.2548,0.0081,-0.0524,-1.4528,-1.4591
2,0.2129,-0.7004,-0.5316,0.1488,0.0
3,0.0,-0.0297,0.4597,0.0,0.0
4,0.0,0.0,-0.2508,0.0,0.0
